Status,Fulfilment,Sales Channel ,ship-service-level,Category,Size,Courier Status,Qty,Amount,ship-city,ship-state,ship-postal-code,promotion-ids,B2B,fulfilled-by,Year,Month,Day,DayOfWeek
2,0,0,0,4,6,0,1,599.0,1740,52,201016.0,3028,0,1,2022,4,6,2
2,0,0,0,7,5,0,1,549.0,541,22,560067.0,3028,0,1,2022,4,5,1
2,0,0,0,7,9,0,1,353.0,632,35,751014.0,3036,0,1,2022,4,14,3
2,0,0,0,7,5,0,1,549.0,2698,54,713343.0,3028,0,1,2022,4,11,0
3,1,0,1,7,7,0,1,475.0,414,35,756001.0,2143,0,0,2022,4,15,4
2,0,0,0,4,0,0,1,832.0,2791,27,421301.0,3036,0,1,2022,5,16,0
2,0,0,0,7,5,0,1,591.0,3815,52,201301.0,3028,0,1,2022,4,11,0
2,0,0,0,6,5,0,1,771.0,1440,7,802136.0,3028,0,1,2022,5,19,3
3,1,0,1,6,6,0,1,735.0,1081,27,415605.0,289,0,0,2022,5,8,6
0,1,0,1,4,6,1,0,747.62,3379,1,517127.0,3036,0,0,2022,5,18,2
2,0,0,0,5,0,0,1,434.0,3763,13,110095.0,3028,0,1,2022,4,3,6
2,0,0,0,7,9,0,1,318.0,2019,50,500043.0,3028,0,1,2022,4,14,3
0,0,0,0,7,0,2,1,376.0,541,22,560062.0,3036,0,1,2022,4,6,2
2,0,0,0,6,8,0,1,771.0,1608,23,686631.0,3028,0,1,2022,5,27,4
3,1,0,1,7,10,0,1,459.0,4559,1,533103.0,2458,0,0,2022,4,14,3
2,0,0,0,4,6,0,1,763.0,4865,50,500061.0,3028,0,1,2022,4,15,4
2,0,0,0,4,6,0,1,0.0,2019,50,500060.0,3036,0,1,2022,4,11,0
3,1,0,1,4,6,0,1,788.0,4086,49,641664.0,2324,0,0,2022,4,6,2
2,0,0,0,4,8,0,1,788.0,2618,54,700031.0,3036,0,1,2022,4,7,3
2,0,0,1,5,6,0,1,0.0,3343,27,400033.0,3036,0,1,2022,4,15,4
2,0,0,0,4,8,0,1,1126.0,1817,18,122001.0,3028,0,1,2022,4,16,5
2,0,0,0,4,10,0,1,788.0,2380,27,421204.0,3036,0,1,2022,4,28,3
2,0,0,0,7,9,0,1,363.0,3734,27,400701.0,3036,0,1,2022,4,29,4
0,1,0,1,7,8,1,0,336.19,3390,53,248179.0,3036,0,0,2022,4,24,6
2,0,0,0,7,7,0,1,435.0,1156,23,688505.0,3036,0,1,2022,4,22,4
2,0,0,0,6,6,0,1,599.0,2019,50,500016.0,3036,0,1,2022,4,8,4
3,1,0,1,4,7,0,1,635.0,1119,49,641008.0,1267,0,0,2022,5,19,3
2,0,0,0,4,8,0,1,1133.0,563,21,829104.0,3036,0,1,2022,4,13,2
3,1,0,1,5,5,0,1,446.0,541,22,560013.0,1286,0,0,2022,5,15,6
2,0,0,0,4,0,0,1,626.0,2019,50,500040.0,3028,0,1,2022,4,27,2
0,1,0,1,4,0,1,0,662.86,2019,50,500045.0,3036,0,0,2022,4,11,0
3,1,0,1,7,9,0,1,301.0,4305,49,613401.0,308,0,0,2022,5,10,1
2,0,0,0,4,7,0,1,788.0,2120,26,452001.0,3036,0,1,2022,4,21,3
3,1,0,1,4,6,0,1,759.0,5561,20,182101.0,1202,0,0,2022,5,13,4
2,0,0,0,7,6,0,1,435.0,4230,35,762001.0,3036,0,1,2022,4,13,2
2,0,0,0,7,8,0,1,419.0,4315,27,411036.0,3036,0,1,2022,4,21,3
2,0,0,0,5,7,0,1,625.0,3343,27,400104.0,3028,0,1,2022,4,14,3
2,0,0,0,7,5,0,1,352.0,1020,49,600015.0,3036,0,1,2022,4,30,5
3,1,0,1,6,0,0,1,825.0,2449,39,144601.0,212,0,0,2022,5,10,1
3,1,0,1,7,5,0,1,368.0,2177,43,302017.0,2308,0,0,2022,4,13,2
3,1,0,1,4,7,0,1,1115.0,1740,52,201010.0,2309,0,0,2022,4,16,5
2,0,0,0,4,5,0,1,930.0,484,39,148101.0,3028,0,1,2022,4,7,3
0,0,0,0,5,7,2,1,599.0,2019,50,500084.0,3036,0,1,2022,4,23,5
2,0,0,0,7,6,0,1,328.0,1774,52,273001.0,3028,0,1,2022,4,3,6
3,1,0,1,7,7,0,1,399.0,1095,43,312001.0,124,0,0,2022,5,11,2
3,1,0,1,5,6,0,1,463.0,35,17,380015.0,839,0,0,2022,4,26,1
2,0,0,0,4,6,0,1,560.0,2618,54,700039.0,3028,0,1,2022,5,24,1
0,1,0,1,4,8,1,0,940.95,2462,50,505001.0,3036,0,0,2022,5,15,6
2,0,0,0,5,8,0,1,460.0,4174,7,800014.0,3036,0,1,2022,4,29,4
2,0,0,0,4,0,0,1,1186.0,4315,27,412207.0,3028,0,1,2022,5,18,2
2,0,0,1,4,6,0,1,0.0,4209,49,625601.0,3036,0,1,2022,5,9,0
2,0,0,0,4,6,0,1,824.0,2081,50,500002.0,3028,0,1,2022,4,6,2
3,1,0,1,4,9,0,1,1523.0,541,22,562149.0,1257,0,0,2022,5,20,4
2,0,0,0,7,10,0,1,406.0,2019,50,500074.0,3028,0,1,2022,4,24,6
2,0,0,0,7,10,0,1,487.0,2081,50,500019.0,3036,0,1,2022,5,3,1
0,0,0,0,7,2,2,1,869.0,541,22,560030.0,3036,0,1,2022,5,29,6
2,0,0,0,4,5,0,1,751.0,1316,53,248007.0,3028,0,1,2022,4,14,3
2,0,0,0,4,9,0,1,599.0,4605,21,834004.0,3028,0,1,2022,5,26,3
2,0,0,0,7,5,0,1,329.0,5765,1,535002.0,3036,0,1,2022,4,24,6
2,0,0,0,6,0,0,1,588.0,541,22,560035.0,3028,0,1,2022,4,10,6
0,0,0,0,4,7,2,1,563.0,1843,46,322201.0,3036,0,1,2022,4,29,4
3,1,0,1,6,0,0,1,599.0,4315,27,411057.0,515,0,0,2022,5,15,6
2,0,0,0,4,9,0,1,1450.0,1020,49,600085.0,3036,0,1,2022,4,5,1
2,0,0,0,7,7,0,1,399.0,1482,14,110070.0,3036,0,1,2022,5,3,1
2,0,0,0,4,0,0,1,1238.0,5689,27,401303.0,3036,0,1,2022,4,28,3
2,0,0,0,7,2,0,1,798.0,541,22,560049.0,3036,0,1,2022,5,20,4
0,1,0,1,4,0,1,0,615.24,3343,27,400097.0,3036,0,0,2022,4,3,6
3,1,0,1,5,5,0,1,0.0,608,10,490020.0,4,0,0,2022,5,22,6
2,0,0,0,5,5,0,1,497.0,4903,19,171002.0,3028,0,1,2022,5,8,6
2,0,0,0,4,5,0,1,1254.0,1655,18,121001.0,3028,1,1,2022,5,3,1
2,0,0,0,6,5,0,1,725.0,4877,54,712249.0,3028,0,1,2022,4,30,5
2,0,0,0,4,6,0,1,888.0,4174,7,801505.0,3028,0,1,2022,4,14,3
2,0,0,0,5,0,0,1,574.0,1785,52,201310.0,3036,0,1,2022,5,16,0
3,1,0,1,7,0,0,1,499.0,2019,50,500020.0,2329,0,0,2022,4,4,0
2,0,0,0,4,6,0,1,1099.0,5757,1,530032.0,3028,0,1,2022,4,24,6
2,0,0,0,4,5,0,1,1450.0,4315,27,411021.0,3028,0,1,2022,4,4,0
3,1,0,1,4,7,0,1,654.0,2019,50,500084.0,2528,0,0,2022,4,15,4
2,0,0,0,6,0,0,1,771.0,212,1,521121.0,3028,0,1,2022,5,26,3
2,0,0,0,7,5,0,1,376.0,5689,27,401202.0,3036,0,1,2022,5,4,2
2,0,0,0,5,10,0,1,0.0,5470,27,421201.0,3036,0,1,2022,5,25,2
3,1,0,1,4,5,0,1,1238.0,3763,13,110034.0,243,0,0,2022,5,15,6
2,0,0,0,7,10,0,1,518.0,2081,50,500072.0,3036,0,1,2022,5,4,2
2,0,0,0,4,7,0,1,1065.0,4174,7,800002.0,3036,0,1,2022,4,18,0
2,0,0,0,4,9,0,1,824.0,1020,49,600100.0,3028,0,1,2022,4,6,2
0,0,0,0,7,7,2,1,376.0,2671,23,686633.0,3036,0,1,2022,4,21,3
2,0,0,0,6,6,0,1,743.0,2019,50,500090.0,3028,0,1,2022,5,4,2
2,0,0,0,4,10,0,1,854.0,541,22,560047.0,3036,0,1,2022,5,11,2
2,0,0,0,4,8,0,1,788.0,3861,27,440022.0,3028,0,1,2022,4,21,3
2,0,0,0,7,5,0,1,533.0,1767,52,271001.0,3028,0,1,2022,4,13,2
0,0,0,0,7,8,2,1,685.0,3763,13,110087.0,3036,0,1,2022,4,14,3
2,0,0,0,7,9,0,1,471.0,541,22,560109.0,3036,0,1,2022,4,14,3
2,0,0,0,6,6,0,1,1033.0,2019,50,500068.0,3036,0,1,2022,4,4,0
3,1,0,1,7,5,0,1,521.0,2246,52,284001.0,2354,0,0,2022,4,3,6
2,0,0,0,7,0,0,1,459.0,4996,27,413002.0,3028,0,1,2022,4,11,0
2,0,0,0,7,0,0,1,399.0,2618,54,700099.0,3036,0,1,2022,4,10,6
2,0,0,0,5,10,0,1,518.0,1822,4,781006.0,3036,0,1,2022,5,26,3
2,0,0,0,6,6,0,1,885.0,1020,49,600031.0,3028,0,1,2022,5,28,5
2,0,0,0,7,5,0,1,496.0,1020,49,600127.0,3028,0,1,2022,5,8,6
2,0,0,1,4,5,0,1,0.0,1352,21,826005.0,3036,0,1,2022,5,15,6
8,1,0,1,4,5,0,1,1072.0,3785,54,700059.0,225,0,0,2022,5,20,4
2,0,0,0,4,6,0,1,824.0,3763,13,110007.0,3036,0,1,2022,4,12,1
0,1,0,1,4,8,1,0,665.71,3815,52,201303.0,3036,0,0,2022,5,14,5
2,0,0,0,7,5,0,1,301.0,3457,23,680741.0,3036,0,1,2022,5,10,1
2,0,0,0,4,0,0,1,1499.0,4605,21,834001.0,3028,0,1,2022,5,11,2
3,1,0,1,7,10,0,1,353.0,2019,50,500028.0,2271,0,0,2022,4,5,1
2,0,0,0,4,5,0,1,854.0,1817,18,122003.0,3028,0,1,2022,5,12,3
3,1,0,1,2,6,0,1,388.0,3815,52,201301.0,840,0,0,2022,4,23,5
3,1,0,1,7,6,0,1,299.0,5711,49,632002.0,840,0,0,2022,4,25,0
2,0,0,0,4,10,0,1,737.0,1809,1,522409.0,3028,0,1,2022,4,27,2
3,1,0,1,7,5,0,1,499.0,3763,13,110049.0,2287,0,0,2022,4,13,2
0,0,0,0,7,7,2,1,511.0,3121,49,625020.0,3036,0,1,2022,4,25,0
0,1,0,1,7,6,1,0,463.81,4891,52,247776.0,3036,0,0,2022,4,10,6
2,0,0,0,4,5,0,1,653.0,791,26,461990.0,3028,0,1,2022,5,15,6
2,0,0,0,4,9,0,1,599.0,1655,18,121008.0,3028,0,1,2022,4,20,2
2,0,0,0,4,7,0,1,648.0,3763,13,110048.0,3028,0,1,2022,3,31,3
2,0,0,0,7,5,0,1,399.0,1740,52,201005.0,3028,0,1,2022,4,22,4
0,0,0,0,4,5,2,1,1133.0,541,22,560043.0,3036,0,1,2022,4,16,5
2,0,0,0,7,8,0,1,469.0,4315,27,411041.0,3036,0,1,2022,5,25,2
3,1,0,1,5,0,0,1,690.0,3575,27,401209.0,1233,0,0,2022,5,20,4
3,1,0,1,7,8,0,1,362.0,3343,27,400072.0,2738,0,0,2022,4,11,0
3,1,0,1,7,10,0,1,431.0,2003,49,635109.0,140,0,0,2022,5,6,4
2,0,0,0,7,8,0,1,399.0,2471,18,132001.0,3028,0,1,2022,3,31,3
3,1,0,1,7,5,0,1,530.0,1046,26,471001.0,2326,0,0,2022,4,7,3
2,0,0,0,7,6,0,1,375.0,2963,43,324002.0,3028,0,1,2022,4,10,6
2,0,0,0,4,6,0,1,1442.0,47,52,224122.0,3028,0,1,2022,5,8,6
3,1,0,1,1,0,0,1,284.0,3343,27,400051.0,2744,0,0,2022,4,17,6
3,1,0,1,6,7,0,1,771.0,3734,27,400708.0,221,0,0,2022,5,23,0
2,0,0,0,7,6,0,1,311.0,541,22,560016.0,3028,0,1,2022,4,13,2
2,0,0,0,4,8,0,1,595.0,3396,23,686661.0,3028,0,1,2022,4,20,2
3,1,0,1,6,8,0,1,744.0,3343,27,400059.0,2309,0,0,2022,4,17,6
2,0,0,0,4,5,0,1,969.0,4633,7,845305.0,3028,0,1,2022,4,6,2
3,1,0,1,7,7,0,1,355.0,3763,13,110059.0,556,0,0,2022,5,27,4
2,0,0,0,4,6,0,1,754.0,2019,50,500075.0,3036,0,1,2022,5,6,4
2,0,0,0,7,5,0,1,709.0,2177,43,302012.0,3036,0,1,2022,5,13,4
2,0,0,0,7,6,0,1,655.0,541,22,560077.0,3028,0,1,2022,5,15,6
3,1,0,1,6,7,0,1,761.0,3763,13,110096.0,2479,0,0,2022,4,5,1
3,1,0,1,5,7,0,1,518.0,5654,17,390017.0,1495,0,0,2022,5,21,5
2,0,0,0,7,6,0,1,442.0,4315,27,411045.0,3036,0,1,2022,4,20,2
3,1,0,1,7,5,0,1,666.0,2618,54,700038.0,2420,0,0,2022,4,6,2
2,0,0,0,4,0,0,1,646.0,2616,27,416003.0,3028,0,1,2022,4,2,5
3,1,0,1,5,9,0,1,377.0,2439,23,670703.0,489,0,0,2022,5,17,1
2,0,0,0,7,0,0,1,477.0,1786,52,201306.0,3028,0,1,2022,4,9,5
2,0,0,0,7,9,0,1,435.0,4562,1,516115.0,3028,0,1,2022,5,14,5
2,0,0,0,7,5,0,1,544.0,2618,54,700042.0,3036,0,1,2022,5,31,1
2,0,0,0,4,6,0,1,1112.0,2019,50,500018.0,3036,0,1,2022,5,14,5
2,0,0,0,4,0,0,1,949.0,2019,50,500089.0,3036,0,1,2022,5,26,3
2,0,0,0,2,0,0,1,845.0,3343,27,400077.0,3036,0,1,2022,4,26,1
3,1,0,1,4,0,0,1,629.0,482,35,757001.0,268,0,0,2022,5,13,4
3,1,0,1,4,5,0,1,799.0,5688,27,401208.0,1286,0,0,2022,5,15,6
0,1,0,1,7,5,1,0,380.0,5902,18,135003.0,3036,0,0,2022,5,17,1
3,1,0,1,7,8,0,1,487.0,3763,13,110024.0,2940,0,0,2022,4,9,5
2,0,0,0,4,6,0,1,979.0,3343,27,400010.0,3036,0,1,2022,5,8,6
2,0,0,0,5,7,0,1,432.0,1020,49,600100.0,3036,0,1,2022,4,1,4
3,1,0,1,4,6,0,1,537.0,2019,50,500013.0,1290,0,0,2022,5,10,1
3,1,0,1,4,8,0,1,581.0,3763,13,110015.0,196,0,0,2022,5,6,4
2,0,0,0,7,6,0,1,399.0,541,22,560099.0,3036,0,1,2022,4,26,1
2,0,0,0,7,0,0,1,355.0,2019,50,500034.0,3028,0,1,2022,5,14,5
2,0,0,0,7,8,0,1,471.0,3343,27,400050.0,3036,0,1,2022,4,15,4
2,0,0,0,4,0,0,1,563.0,1020,49,600106.0,3028,0,1,2022,4,4,0
3,1,0,1,6,8,0,1,791.0,2396,50,503111.0,2411,0,0,2022,4,19,1
2,0,0,0,4,8,0,1,881.0,2019,50,500035.0,3028,0,1,2022,5,25,2
2,0,0,0,7,0,0,1,526.0,3592,49,621211.0,3028,0,1,2022,5,10,1
3,1,0,1,4,5,0,1,630.0,1013,23,673304.0,660,0,0,2022,5,17,1
2,0,0,0,7,5,0,1,487.0,3763,13,110043.0,3036,0,1,2022,4,22,4
3,1,0,1,4,6,0,1,988.0,2358,18,125201.0,637,0,0,2022,5,19,3
2,0,0,0,4,7,0,1,605.0,541,22,560076.0,3028,0,1,2022,5,18,2
0,0,0,0,4,6,2,1,1140.0,1785,52,201306.0,3036,0,1,2022,4,19,1
2,0,0,0,4,7,0,1,654.0,3575,27,400015.0,3028,0,1,2022,4,30,5
2,0,0,0,6,10,0,1,885.0,5317,27,421503.0,3036,0,1,2022,5,10,1
3,1,0,1,7,0,0,1,382.0,3054,1,534462.0,1186,0,0,2022,5,31,1
2,0,0,0,7,10,0,1,574.0,4289,0,744106.0,3028,0,1,2022,5,24,1
2,0,0,0,7,7,0,1,399.0,2081,50,500072.0,3026,0,1,2022,5,17,1
0,1,0,1,1,0,1,0,342.86,541,22,560066.0,3036,0,0,2022,4,20,2
2,0,0,0,4,5,0,1,759.0,4248,27,412101.0,3028,0,1,2022,4,10,6
2,0,0,0,6,0,0,1,771.0,3343,27,400049.0,3028,0,1,2022,5,22,6
2,0,0,0,7,0,0,1,301.0,3403,22,570022.0,3036,0,1,2022,5,29,6
2,0,0,0,7,5,0,1,426.0,1576,23,679576.0,3036,0,1,2022,4,2,5
2,0,0,0,7,6,0,1,777.0,2006,54,711108.0,3028,0,1,2022,5,27,4
2,0,0,0,7,0,0,1,534.0,645,54,700064.0,3028,0,1,2022,4,29,4
0,0,0,0,4,9,2,1,969.0,2477,49,620009.0,3036,0,1,2022,4,20,2
2,0,0,0,4,9,0,1,1085.0,1123,15,403513.0,3028,0,1,2022,4,4,0
3,1,0,1,4,10,0,1,654.0,730,50,509301.0,2925,0,0,2022,4,9,5
2,0,0,0,5,7,0,1,574.0,3343,27,400037.0,3036,0,1,2022,5,22,6
3,1,0,1,6,6,0,1,771.0,1020,49,600092.0,436,0,0,2022,5,12,3
2,0,0,0,6,0,0,1,899.0,2019,50,500019.0,3036,0,1,2022,5,30,0
2,0,0,0,4,9,0,1,666.0,4344,1,515134.0,3028,0,1,2022,4,29,4
2,0,0,0,7,0,0,1,387.0,2019,50,500072.0,3036,0,1,2022,5,6,4
2,0,0,0,4,8,0,1,824.0,1020,49,600008.0,3028,0,1,2022,4,8,4
3,1,0,1,6,7,0,1,771.0,541,22,560100.0,1932,0,0,2022,4,25,0
2,0,0,0,6,6,0,1,744.0,541,22,560098.0,3028,0,1,2022,4,29,4
0,0,0,0,5,9,2,1,354.0,6102,27,400042.0,3036,0,1,2022,5,16,0
2,0,0,0,5,5,0,1,574.0,541,22,560027.0,3036,0,1,2022,4,7,3
3,1,0,1,6,8,0,1,721.0,1020,49,600116.0,1283,0,0,2022,5,25,2
2,0,0,0,4,5,0,1,799.0,1817,18,122003.0,3036,0,1,2022,5,4,2
2,0,0,0,4,8,0,1,1298.0,3343,27,400104.0,3028,0,1,2022,4,4,0
2,0,0,0,4,5,0,1,725.0,2618,54,700052.0,3036,0,1,2022,4,13,2
2,0,0,0,4,10,0,1,788.0,2019,50,500055.0,3036,0,1,2022,4,19,1
2,0,0,0,4,0,0,1,759.0,2212,21,832401.0,3028,0,1,2022,5,13,4
2,0,0,0,7,9,0,1,363.0,1817,18,122015.0,3028,0,1,2022,4,13,2
3,1,0,1,7,5,0,1,517.0,2380,27,421301.0,629,0,0,2022,5,23,0
0,0,0,0,6,7,2,1,791.0,2019,50,502032.0,3036,0,1,2022,5,30,0
0,0,0,0,5,0,2,1,574.0,948,15,403515.0,3036,0,1,2022,5,25,2
2,0,0,0,4,6,0,1,888.0,2344,1,533003.0,3028,0,1,2022,4,30,5
2,0,0,0,7,5,0,1,471.0,634,19,175126.0,3036,0,1,2022,4,14,3
2,0,0,0,4,5,0,1,653.0,4315,27,411041.0,3036,0,1,2022,4,15,4
3,1,0,1,4,6,0,1,788.0,3763,13,110092.0,2736,0,0,2022,4,10,6
2,0,0,0,7,0,0,1,329.0,3719,27,422013.0,3028,0,1,2022,4,29,4
2,0,0,0,5,5,0,1,493.0,1740,52,201014.0,3028,0,1,2022,4,18,0
3,1,0,1,4,5,0,1,1126.0,5736,1,521137.0,2517,0,0,2022,4,8,4
2,0,0,0,4,9,0,1,874.0,2019,50,500036.0,3028,0,1,2022,4,7,3
3,1,0,1,7,7,0,1,399.0,1740,52,201005.0,2201,0,0,2022,4,19,1
2,0,0,0,7,9,0,1,399.0,804,45,325205.0,3028,0,1,2022,4,24,6
0,0,0,0,4,7,2,1,749.0,94,18,133001.0,3036,0,1,2022,4,2,5
2,0,0,0,7,6,0,1,352.0,541,22,560036.0,3028,0,1,2022,4,17,6
2,0,0,0,6,8,0,1,825.0,541,22,560045.0,3036,0,1,2022,5,23,0
3,1,0,1,7,0,0,1,495.0,3293,52,231304.0,1935,0,0,2022,4,20,2
2,0,0,0,4,8,0,1,499.0,35,17,380059.0,3036,0,1,2022,4,20,2
2,0,0,0,7,5,0,1,549.0,3763,13,110044.0,3036,0,1,2022,4,20,2
2,0,0,0,4,5,0,1,599.0,3352,27,400030.0,3028,0,1,2022,5,27,4
2,0,0,0,7,8,0,1,568.0,2266,52,273164.0,3028,0,1,2022,4,27,2
2,0,0,0,5,0,0,1,574.0,3763,13,110044.0,3036,0,1,2022,5,31,1
3,1,0,1,4,6,0,1,788.0,668,17,396321.0,425,0,0,2022,5,14,5
2,0,0,0,4,10,0,1,999.0,5736,1,520003.0,3028,0,1,2022,5,16,0
2,0,0,0,4,7,0,1,1281.0,4956,27,443202.0,3028,0,1,2022,4,12,1
0,1,0,1,4,7,1,0,734.29,3129,50,506101.0,3036,0,0,2022,4,12,1
2,0,0,0,7,8,0,1,449.0,5317,27,401107.0,3036,0,1,2022,4,9,5
3,1,0,1,4,7,0,1,629.0,3066,39,141002.0,1239,0,0,2022,5,11,2
2,0,0,0,4,6,0,1,967.0,983,9,160036.0,3028,0,1,2022,4,20,2
3,1,0,1,7,6,0,1,368.0,1103,23,670675.0,2409,0,0,2022,4,17,6
2,0,0,0,6,5,0,1,885.0,541,22,560049.0,3036,0,1,2022,5,27,4
2,0,0,0,4,5,0,1,599.0,2942,54,700095.0,3036,0,1,2022,4,3,6
2,0,0,0,4,0,0,1,641.0,1020,49,600042.0,3036,0,1,2022,5,23,0
2,0,0,0,0,5,0,1,665.0,3343,27,400014.0,3036,0,1,2022,5,12,3
2,0,0,0,4,5,0,1,693.0,4248,27,411027.0,3028,0,1,2022,4,4,0
2,0,0,0,4,0,0,1,0.0,3343,27,400064.0,3036,0,1,2022,4,6,2
3,1,0,1,6,9,0,1,771.0,4315,27,411014.0,1115,0,0,2022,5,25,2
3,1,0,1,6,5,0,1,899.0,4996,27,413004.0,1676,0,0,2022,5,8,6
2,0,0,0,7,5,0,1,399.0,1655,18,121010.0,3036,0,1,2022,4,26,1
2,0,0,0,4,6,0,1,788.0,1316,53,248001.0,3036,0,1,2022,4,23,5
0,0,0,0,4,10,2,1,788.0,1132,35,753012.0,3036,0,1,2022,4,11,0
2,0,0,0,7,7,0,1,549.0,2209,20,180011.0,3028,0,1,2022,5,4,2
3,1,0,1,5,8,0,1,574.0,4174,7,800014.0,1490,0,0,2022,5,14,5
3,1,0,1,7,7,0,1,301.0,962,23,680721.0,342,0,0,2022,5,17,1
2,0,0,0,7,8,0,1,459.0,441,22,560058.0,3036,0,1,2022,5,18,2
3,1,0,1,7,6,0,1,0.0,3763,13,110077.0,0,0,0,2022,5,25,2
2,0,0,0,0,7,0,1,625.0,2019,50,500097.0,3028,0,1,2022,4,30,5
2,0,0,0,4,7,0,1,696.0,1829,26,474001.0,3028,0,1,2022,5,22,6
0,1,0,1,6,8,1,0,842.86,4538,52,229001.0,3036,0,0,2022,4,25,0
2,0,0,0,4,6,0,1,455.0,3343,27,400076.0,3036,0,1,2022,4,13,2
8,1,0,1,6,0,0,1,771.0,5279,50,501141.0,220,0,0,2022,5,22,6
2,0,0,0,5,9,0,1,446.0,541,22,560098.0,3036,0,1,2022,5,3,1
2,0,0,0,4,10,0,1,788.0,541,22,560035.0,3036,0,1,2022,4,11,0
0,0,0,0,4,6,2,1,634.0,5217,1,517644.0,3036,0,1,2022,5,4,2
2,0,0,0,7,5,0,1,688.0,632,35,751007.0,3036,0,1,2022,5,6,4
2,0,0,0,7,6,0,1,359.0,4273,15,403401.0,3036,0,1,2022,4,4,0
2,0,0,0,3,4,0,1,989.0,5040,22,574239.0,3028,0,1,2022,4,24,6
2,0,0,0,7,8,0,1,316.0,2019,50,500034.0,3036,0,1,2022,4,9,5
2,0,0,0,3,4,0,1,620.0,3763,13,110084.0,3028,0,1,2022,4,30,5
2,0,0,0,4,5,0,1,612.0,1316,53,248001.0,3028,0,1,2022,4,21,3
2,0,0,0,4,5,0,1,715.0,2618,54,700048.0,3036,0,1,2022,4,7,3
2,0,0,0,4,7,0,1,696.0,3575,27,400071.0,3036,0,1,2022,5,13,4
2,0,0,0,4,9,0,1,546.0,2081,50,500081.0,3028,0,1,2022,4,2,5
0,0,0,0,4,8,2,1,618.0,2120,26,452019.0,3036,0,1,2022,4,4,0
2,0,0,0,4,9,0,1,788.0,1655,18,121002.0,3028,0,1,2022,4,23,5
2,0,0,0,5,6,0,1,469.0,441,22,560076.0,3036,0,1,2022,4,5,1
3,1,0,1,4,9,0,1,1499.0,517,43,305901.0,1500,0,0,2022,5,20,4
2,0,0,0,7,9,0,1,419.0,4483,0,744103.0,3036,0,1,2022,4,8,4
3,1,0,1,7,10,0,1,291.0,3343,27,400092.0,1862,0,0,2022,4,27,2
2,0,0,0,7,10,0,1,459.0,1020,49,600062.0,3028,0,1,2022,4,20,2
2,0,0,0,5,10,0,1,540.0,1551,27,421202.0,3036,0,1,2022,4,30,5
2,0,0,0,7,9,0,1,435.0,1655,18,121003.0,3028,0,1,2022,4,24,6
2,0,0,0,4,5,0,1,1349.0,3815,52,201303.0,3028,0,1,2022,5,18,2
2,0,0,0,7,7,0,1,852.0,3734,27,410206.0,3028,0,1,2022,5,25,2
2,0,0,0,7,10,0,1,353.0,1020,49,600097.0,3036,0,1,2022,4,10,6
2,0,0,0,4,10,0,1,1186.0,778,22,560100.0,3036,0,1,2022,5,31,1
