SKU,Category,Style,Size,Total_Quantity_Sold,Total_Sales,Average_Price,Total_Orders,Initial_Stock,Current_Stock,Reorder_Level,Inventory_Status
BL079-87RED,Blouse,BL079,Free,1,429.0,429.0,1,336,335,50,In Stock
BL086-XL,Blouse,BL086,XL,2,568.0,568.0,1,464,462,50,In Stock
BL086-XXL,Blouse,BL086,XXL,2,568.0,284.0,2,289,287,50,In Stock
BL087-M,Blouse,BL087,M,2,959.0,479.5,2,161,159,50,In Stock
BL087-XXL,Blouse,BL087,XXL,1,460.0,460.0,1,359,358,50,In Stock
BL089-XS,Blouse,BL089,XS,1,301.0,301.0,1,328,327,50,In Stock
BL089-XXL,Blouse,BL089,XXL,1,273.0,273.0,1,426,425,50,In Stock
BL090-M,Blouse,BL090,M,2,959.0,479.5,2,140,138,50,In Stock
BL090-S,Blouse,BL090,S,2,499.0,249.5,2,239,237,50,In Stock
BL090-XS,Blouse,BL090,XS,1,0.0,0.0,1,470,469,50,In Stock
BL090-XXL,Blouse,BL090,XXL,1,460.0,460.0,1,186,185,50,In Stock
BL093-S,Blouse,BL093,S,1,273.0,273.0,1,262,261,50,In Stock
BL096-S,Blouse,BL096,S,1,229.0,229.0,1,349,348,50,In Stock
BL096-XL,Blouse,BL096,XL,1,301.0,301.0,1,188,187,50,In Stock
BL098-S,Blouse,BL098,S,3,903.0,301.0,3,349,346,50,In Stock
BL098-XL,Blouse,BL098,XL,2,602.0,301.0,2,136,134,50,In Stock
BL098-XS,Blouse,BL098,XS,1,419.0,419.0,1,196,195,50,In Stock
BL098-XXL,Blouse,BL098,XXL,1,301.0,301.0,1,152,151,50,In Stock
BL099-L,Blouse,BL099,L,2,560.0,280.0,2,238,236,50,In Stock
BL099-S,Blouse,BL099,S,2,518.0,259.0,2,435,433,50,In Stock
BL099-XS,Blouse,BL099,XS,1,259.0,259.0,1,102,101,50,In Stock
BL100-M,Blouse,BL100,M,1,259.0,259.0,1,308,307,50,In Stock
BL100-S,Blouse,BL100,S,3,777.0,259.0,3,101,98,50,In Stock
BL100-XL,Blouse,BL100,XL,2,560.0,280.0,2,157,155,50,In Stock
BL101-M,Blouse,BL101,M,2,498.0,249.0,2,394,392,50,In Stock
BL101-S,Blouse,BL101,S,2,498.0,249.0,2,144,142,50,In Stock
BL101-XS,Blouse,BL101,XS,2,498.0,249.0,2,116,114,50,In Stock
BL101-XXL,Blouse,BL101,XXL,1,249.0,249.0,1,266,265,50,In Stock
BL102-L,Blouse,BL102,L,2,518.0,259.0,2,305,303,50,In Stock
BL102-M,Blouse,BL102,M,4,1036.0,259.0,4,150,146,50,In Stock
BL102-S,Blouse,BL102,S,2,518.0,259.0,2,372,370,50,In Stock
BL102-XS,Blouse,BL102,XS,1,259.0,259.0,1,126,125,50,In Stock
BL103-L,Blouse,BL103,L,4,1957.0,489.25,4,269,265,50,In Stock
BL103-S,Blouse,BL103,S,3,1857.1,464.275,4,239,236,50,In Stock
BL103-XL,Blouse,BL103,XL,5,2378.0,475.6,5,323,318,50,In Stock
BL103-XS,Blouse,BL103,XS,3,1818.1,454.525,4,189,186,50,In Stock
BL103-XXL,Blouse,BL103,XXL,8,3758.0,469.75,8,214,206,50,In Stock
BL104-L,Blouse,BL104,L,8,5023.62,502.36199999999997,10,312,304,50,In Stock
BL104-M,Blouse,BL104,M,1,529.0,529.0,1,142,141,50,In Stock
BL104-S,Blouse,BL104,S,5,2501.0,500.2,5,439,434,50,In Stock
BL104-XL,Blouse,BL104,XL,0,973.3299999999999,486.66499999999996,2,215,215,50,In Stock
BL104-XS,Blouse,BL104,XS,1,493.0,493.0,1,103,102,50,In Stock
BL104-XXL,Blouse,BL104,XXL,4,2008.0,502.0,4,499,495,50,In Stock
BL107-S,Blouse,BL107,S,3,967.0,322.3333333333333,3,210,207,50,In Stock
BL107-XL,Blouse,BL107,XL,1,319.0,319.0,1,307,306,50,In Stock
BL107-XS,Blouse,BL107,XS,1,319.0,319.0,1,157,156,50,In Stock
BL109-L,Blouse,BL109,L,8,4125.0,515.625,8,117,109,50,In Stock
BL109-M,Blouse,BL109,M,4,2053.0,513.25,4,213,209,50,In Stock
BL109-S,Blouse,BL109,S,1,487.0,487.0,1,366,365,50,In Stock
BL109-XL,Blouse,BL109,XL,1,518.0,518.0,1,224,223,50,In Stock
BL109-XS,Blouse,BL109,XS,2,1036.0,518.0,2,412,410,50,In Stock
BL109-XXL,Blouse,BL109,XXL,3,1554.0,518.0,3,113,110,50,In Stock
BL110-L,Blouse,BL110,L,11,3659.0,332.6363636363636,11,141,130,50,In Stock
BL110-M,Blouse,BL110,M,2,682.0,341.0,2,328,326,50,In Stock
BL110-S,Blouse,BL110,S,4,1320.0,330.0,4,190,186,50,In Stock
BL110-XL,Blouse,BL110,XL,2,658.0,329.0,2,439,437,50,In Stock
BL110-XS,Blouse,BL110,XS,1,329.0,329.0,1,136,135,50,In Stock
BL110-XXL,Blouse,BL110,XXL,1,646.3299999999999,323.16499999999996,2,233,232,50,In Stock
BL111-L,Blouse,BL111,L,3,840.0,280.0,3,120,117,50,In Stock
BL111-M,Blouse,BL111,M,1,280.0,280.0,1,293,292,50,In Stock
BL111-S,Blouse,BL111,S,3,840.0,280.0,3,356,353,50,In Stock
BL111-XS,Blouse,BL111,XS,1,301.0,301.0,1,103,102,50,In Stock
BL113-L,Blouse,BL113,L,3,986.0,328.6666666666667,3,392,389,50,In Stock
BL113-M,Blouse,BL113,M,2,493.0,246.5,2,462,460,50,In Stock
BL113-S,Blouse,BL113,S,4,1479.0,369.75,4,363,359,50,In Stock
BL113-XL,Blouse,BL113,XL,3,1479.0,493.0,3,336,333,50,In Stock
BL113-XS,Blouse,BL113,XS,3,1479.0,493.0,3,462,459,50,In Stock
BL113-XXL,Blouse,BL113,XXL,3,1479.0,493.0,3,408,405,50,In Stock
BTM002-B-L,Bottom,BTM002,L,1,518.0,518.0,1,118,117,50,In Stock
BTM002-B-M,Bottom,BTM002,M,4,2072.0,518.0,4,372,368,50,In Stock
BTM002-B-XL,Bottom,BTM002,XL,1,518.0,518.0,1,264,263,50,In Stock
BTM002-B-XXXL,Bottom,BTM002,3XL,1,518.0,518.0,1,212,211,50,In Stock
BTM002-L,Bottom,BTM002,L,1,518.0,518.0,1,183,182,50,In Stock
BTM002-S,Bottom,BTM002,S,2,1036.0,518.0,2,498,496,50,In Stock
BTM002-XL,Bottom,BTM002,XL,1,518.0,518.0,1,374,373,50,In Stock
BTM002-XXXL,Bottom,BTM002,3XL,1,518.0,518.0,1,489,488,50,In Stock
BTM003-B-XXXL,Bottom,BTM003,3XL,1,518.0,518.0,1,323,322,50,In Stock
BTM003-M,Bottom,BTM003,M,1,518.0,518.0,1,417,416,50,In Stock
BTM004-XXXL,Bottom,BTM004,3XL,1,349.0,349.0,1,368,367,50,In Stock
BTM005-L,Bottom,BTM005,L,1,518.0,518.0,1,291,290,50,In Stock
BTM008-B-L,Bottom,BTM008,L,1,518.0,518.0,1,225,224,50,In Stock
BTM008-B-M,Bottom,BTM008,M,1,518.0,518.0,1,318,317,50,In Stock
BTM008-B-XXL,Bottom,BTM008,XXL,1,518.0,518.0,1,178,177,50,In Stock
BTM008-L,Bottom,BTM008,L,1,518.0,518.0,1,467,466,50,In Stock
BTM008-XL,Bottom,BTM008,XL,1,518.0,518.0,1,117,116,50,In Stock
BTM008-XXL,Bottom,BTM008,XXL,2,1036.0,518.0,2,231,229,50,In Stock
BTM008-XXXL,Bottom,BTM008,3XL,1,518.0,518.0,1,125,124,50,In Stock
BTM021-B-L,Bottom,BTM021,L,1,518.0,518.0,1,331,330,50,In Stock
BTM021-B-XS,Bottom,BTM021,XS,2,518.0,259.0,2,432,430,50,In Stock
BTM021-B-XXL,Bottom,BTM021,XXL,1,518.0,518.0,1,345,344,50,In Stock
BTM021-B-XXXL,Bottom,BTM021,3XL,1,518.0,518.0,1,430,429,50,In Stock
BTM026-NP-L,Bottom,BTM026,L,2,1036.0,518.0,2,308,306,50,In Stock
BTM026-NP-M,Bottom,BTM026,M,2,518.0,259.0,2,277,275,50,In Stock
BTM026-NP-S,Bottom,BTM026,S,1,518.0,518.0,1,429,428,50,In Stock
BTM026-NP-XL,Bottom,BTM026,XL,2,1036.0,518.0,2,284,282,50,In Stock
BTM026-NP-XS,Bottom,BTM026,XS,1,518.0,518.0,1,446,445,50,In Stock
BTM026-NP-XXXL,Bottom,BTM026,3XL,1,518.0,518.0,1,329,328,50,In Stock
BTM027-NP-L,Bottom,BTM027,L,0,493.34,493.34,1,131,131,50,In Stock
BTM027-NP-XXXL,Bottom,BTM027,3XL,3,1554.0,518.0,3,392,389,50,In Stock
BTM029-NP-L,Bottom,BTM029,L,1,518.0,518.0,1,228,227,50,In Stock
BTM029-NP-M,Bottom,BTM029,M,1,518.0,518.0,1,184,183,50,In Stock
BTM029-NP-S,Bottom,BTM029,S,3,1554.0,518.0,3,196,193,50,In Stock
BTM029-NP-XL,Bottom,BTM029,XL,2,1529.33,509.77666666666664,3,458,456,50,In Stock
BTM029-NP-XS,Bottom,BTM029,XS,1,518.0,518.0,1,318,317,50,In Stock
BTM029-NP-XXL,Bottom,BTM029,XXL,3,1554.0,518.0,3,481,478,50,In Stock
BTM029-NP-XXXL,Bottom,BTM029,3XL,2,1036.0,518.0,2,225,223,50,In Stock
BTM030-NP-M,Bottom,BTM030,M,1,284.0,284.0,1,121,120,50,In Stock
BTM030-NP-XS,Bottom,BTM030,XS,3,852.0,284.0,3,483,480,50,In Stock
BTM030-NP-XXL,Bottom,BTM030,XXL,1,554.48,277.24,2,361,360,50,In Stock
BTM030-NP-XXXL,Bottom,BTM030,3XL,3,886.0,295.3333333333333,3,489,486,50,In Stock
BTM031-NP-L,Bottom,BTM031,L,3,1554.0,518.0,3,285,282,50,In Stock
BTM031-NP-M,Bottom,BTM031,M,1,518.0,518.0,1,177,176,50,In Stock
BTM031-NP-XL,Bottom,BTM031,XL,3,1554.0,518.0,3,426,423,50,In Stock
BTM031-NP-XS,Bottom,BTM031,XS,1,518.0,518.0,1,120,119,50,In Stock
BTM031-NP-XXL,Bottom,BTM031,XXL,1,518.0,518.0,1,313,312,50,In Stock
BTM032-NP-M,Bottom,BTM032,M,0,286.67,286.67,1,424,424,50,In Stock
BTM032-NP-S,Bottom,BTM032,S,6,1790.0,298.3333333333333,6,372,366,50,In Stock
BTM032-NP-XS,Bottom,BTM032,XS,2,594.0,297.0,2,210,208,50,In Stock
BTM033-NP-XS,Bottom,BTM033,XS,1,297.0,297.0,1,345,344,50,In Stock
BTM033-NP-XXL,Bottom,BTM033,XXL,1,297.0,297.0,1,185,184,50,In Stock
BTM033-NP-XXXL,Bottom,BTM033,3XL,1,297.0,297.0,1,461,460,50,In Stock
BTM035-NP-XS,Bottom,BTM035,XS,2,568.0,284.0,2,294,292,50,In Stock
BTM035-NP-XXXL,Bottom,BTM035,3XL,1,301.0,301.0,1,106,105,50,In Stock
BTM036-PP-L,Bottom,BTM036,L,2,720.0,360.0,2,271,269,50,In Stock
BTM036-PP-M,Bottom,BTM036,M,1,360.0,360.0,1,266,265,50,In Stock
BTM036-PP-S,Bottom,BTM036,S,2,737.0,368.5,2,487,485,50,In Stock
BTM036-PP-XXL,Bottom,BTM036,XXL,3,1097.0,365.6666666666667,3,171,168,50,In Stock
BTM036-PP-XXXL,Bottom,BTM036,3XL,3,1422.8600000000001,355.71500000000003,4,215,212,50,In Stock
BTM037-PP-M,Bottom,BTM037,M,1,345.0,345.0,1,267,266,50,In Stock
BTM037-PP-XL,Bottom,BTM037,XL,1,360.0,360.0,1,352,351,50,In Stock
BTM037-PP-XS,Bottom,BTM037,XS,1,360.0,360.0,1,109,108,50,In Stock
BTM037-PP-XXL,Bottom,BTM037,XXL,1,345.0,345.0,1,175,174,50,In Stock
BTM037-PP-XXXL,Bottom,BTM037,3XL,2,1047.8600000000001,349.2866666666667,3,224,222,50,In Stock
BTM038-PP-L,Bottom,BTM038,L,1,377.0,377.0,1,182,181,50,In Stock
BTM038-PP-S,Bottom,BTM038,S,5,2612.9,373.2714285714286,7,243,238,50,In Stock
BTM038-PP-XXL,Bottom,BTM038,XXL,1,379.0,379.0,1,373,372,50,In Stock
BTM038-PP-XXXL,Bottom,BTM038,3XL,4,1871.05,374.21,5,246,242,50,In Stock
BTM039-PP-L,Bottom,BTM039,L,5,2142.86,428.572,5,452,447,50,In Stock
BTM039-PP-M,Bottom,BTM039,M,4,2468.58,411.43,6,195,191,50,In Stock
BTM039-PP-S,Bottom,BTM039,S,5,2142.86,357.1433333333334,6,407,402,50,In Stock
BTM039-PP-XL,Bottom,BTM039,XL,3,2451.44,490.288,5,439,436,50,In Stock
BTM039-PP-XS,Bottom,BTM039,XS,1,1045.72,522.86,2,299,298,50,In Stock
BTM039-PP-XXL,Bottom,BTM039,XXL,2,720.0,720.0,1,103,101,50,In Stock
BTM039-PP-XXXL,Bottom,BTM039,3XL,5,1800.0,360.0,5,306,301,50,In Stock
BTM040-PP-S,Bottom,BTM040,S,1,345.0,345.0,1,355,354,50,In Stock
BTM040-PP-XL,Bottom,BTM040,XL,2,701.0,350.5,2,445,443,50,In Stock
BTM040-PP-XS,Bottom,BTM040,XS,1,345.0,345.0,1,137,136,50,In Stock
BTM040-PP-XXL,Bottom,BTM040,XXL,3,1046.0,348.6666666666667,3,334,331,50,In Stock
BTM040-PP-XXXL,Bottom,BTM040,3XL,2,690.0,345.0,2,311,309,50,In Stock
BTM041-PP-L,Bottom,BTM041,L,1,0.0,0.0,1,270,269,50,In Stock
BTM041-PP-S,Bottom,BTM041,S,1,345.0,345.0,1,374,373,50,In Stock
BTM041-PP-XL,Bottom,BTM041,XL,3,993.0,331.0,3,485,482,50,In Stock
BTM041-PP-XS,Bottom,BTM041,XS,1,345.0,345.0,1,207,206,50,In Stock
BTM041-PP-XXL,Bottom,BTM041,XXL,2,690.0,345.0,2,478,476,50,In Stock
BTM041-PP-XXXL,Bottom,BTM041,3XL,1,345.0,345.0,1,126,125,50,In Stock
BTM042-PP-L,Bottom,BTM042,L,5,1609.0,321.8,5,362,357,50,In Stock
BTM042-PP-M,Bottom,BTM042,M,3,963.0,321.0,3,204,201,50,In Stock
BTM042-PP-S,Bottom,BTM042,S,1,317.0,317.0,1,449,448,50,In Stock
BTM042-PP-XL,Bottom,BTM042,XL,3,674.0,224.66666666666666,3,215,212,50,In Stock
BTM042-PP-XS,Bottom,BTM042,XS,2,658.0,329.0,2,398,396,50,In Stock
BTM042-PP-XXL,Bottom,BTM042,XXL,1,329.0,329.0,1,441,440,50,In Stock
BTM042-PP-XXXL,Bottom,BTM042,3XL,1,329.0,329.0,1,156,155,50,In Stock
BTM043-PP-S,Bottom,BTM043,S,2,756.0,378.0,2,355,353,50,In Stock
BTM043-PP-XL,Bottom,BTM043,XL,2,1116.95,372.31666666666666,3,213,211,50,In Stock
BTM043-PP-XS,Bottom,BTM043,XS,1,377.0,377.0,1,338,337,50,In Stock
BTM043-PP-XXL,Bottom,BTM043,XXL,4,1512.0,378.0,4,473,469,50,In Stock
BTM043-PP-XXXL,Bottom,BTM043,3XL,1,379.0,379.0,1,393,392,50,In Stock
BTM044-PP-M,Bottom,BTM044,M,3,1080.0,360.0,3,237,234,50,In Stock
BTM044-PP-XL,Bottom,BTM044,XL,1,377.0,377.0,1,194,193,50,In Stock
BTM044-PP-XS,Bottom,BTM044,XS,1,360.0,360.0,1,271,270,50,In Stock
BTM044-PP-XXXL,Bottom,BTM044,3XL,1,360.0,360.0,1,166,165,50,In Stock
BTM045-PP-M,Bottom,BTM045,M,1,331.0,331.0,1,178,177,50,In Stock
BTM045-PP-XL,Bottom,BTM045,XL,6,2028.0,338.0,6,342,336,50,In Stock
BTM045-PP-XXL,Bottom,BTM045,XXL,2,690.0,345.0,2,434,432,50,In Stock
BTM045-PP-XXXL,Bottom,BTM045,3XL,2,676.0,338.0,2,351,349,50,In Stock
BTM046-PP-XL,Bottom,BTM046,XL,2,369.0,184.5,2,384,382,50,In Stock
BTM047-PP-L,Bottom,BTM047,L,1,360.0,360.0,1,292,291,50,In Stock
BTM047-PP-M,Bottom,BTM047,M,1,331.0,331.0,1,250,249,50,In Stock
BTM047-PP-S,Bottom,BTM047,S,2,690.0,345.0,2,220,218,50,In Stock
BTM047-PP-XS,Bottom,BTM047,XS,1,345.0,345.0,1,344,343,50,In Stock
BTM047-PP-XXL,Bottom,BTM047,XXL,2,345.0,172.5,2,255,253,50,In Stock
BTM047-PP-XXXL,Bottom,BTM047,3XL,1,345.0,345.0,1,293,292,50,In Stock
BTM048-PP-M,Bottom,BTM048,M,1,345.0,345.0,1,148,147,50,In Stock
BTM048-PP-XS,Bottom,BTM048,XS,1,345.0,345.0,1,239,238,50,In Stock
CH201-RED-M,Bottom,CH201,M,1,301.0,301.0,1,363,362,50,In Stock
CH202-ORANGE-L,Bottom,CH202,L,1,273.0,273.0,1,322,321,50,In Stock
CH203-MAROON-L,Bottom,CH203,L,2,546.0,273.0,2,118,116,50,In Stock
CH204-PURPLE-L,Bottom,CH204,L,1,284.0,284.0,1,414,413,50,In Stock
CH204-PURPLE-M,Bottom,CH204,M,1,284.0,284.0,1,114,113,50,In Stock
CH204-PURPLE-S,Bottom,CH204,S,1,284.0,284.0,1,345,344,50,In Stock
CH205-YELLOW-S,Bottom,CH205,S,1,273.0,273.0,1,184,183,50,In Stock
CH205-YELLOW-XXL,Bottom,CH205,XXL,2,574.0,287.0,2,323,321,50,In Stock
CH206-GREEN-XXL,Bottom,CH206,XXL,1,273.0,273.0,1,400,399,50,In Stock
CH208-MUSTARD-L,Bottom,CH208,L,3,847.0,282.3333333333333,3,282,279,50,In Stock
CH208-MUSTARD-M,Bottom,CH208,M,1,301.0,301.0,1,379,378,50,In Stock
CH208-MUSTARD-S,Bottom,CH208,S,1,301.0,301.0,1,483,482,50,In Stock
CH209-BIEGE-XL,Bottom,CH209,XL,1,273.0,273.0,1,181,180,50,In Stock
CH213-BROWN-L,Bottom,CH213,L,1,273.0,273.0,1,262,261,50,In Stock
CH213-BROWN-M,Bottom,CH213,M,1,273.0,273.0,1,263,262,50,In Stock
J0001-DR-L,Ethnic Dress,J0001,L,3,2727.14,681.785,4,111,108,50,In Stock
J0001-DR-M,Ethnic Dress,J0001,M,2,1380.0,690.0,2,485,483,50,In Stock
J0001-DR-S,Ethnic Dress,J0001,S,4,2760.0,690.0,4,183,179,50,In Stock
J0001-DR-XL,Ethnic Dress,J0001,XL,2,1380.0,690.0,2,264,262,50,In Stock
J0001-DR-XS,Ethnic Dress,J0001,XS,2,1380.0,690.0,2,485,483,50,In Stock
J0001-DR-XXL,Ethnic Dress,J0001,XXL,1,690.0,690.0,1,387,386,50,In Stock
J0001-DR-XXXL,Ethnic Dress,J0001,3XL,9,6128.0,680.8888888888889,9,322,313,50,In Stock
J0002-SKD-L,Set,J0002,L,23,26318.0,1196.2727272727273,22,215,192,50,In Stock
J0002-SKD-M,Set,J0002,M,36,40787.08,1073.344210526316,38,462,426,50,In Stock
J0002-SKD-S,Set,J0002,S,19,20172.54,1008.6270000000001,20,300,281,50,In Stock
J0002-SKD-XL,Set,J0002,XL,25,31478.08,1165.854814814815,27,101,76,50,In Stock
J0002-SKD-XS,Set,J0002,XS,15,17114.0,1140.9333333333334,15,237,222,50,In Stock
J0002-SKD-XXL,Set,J0002,XXL,25,31209.86,1200.3792307692308,26,427,402,50,In Stock
J0002-SKD-XXXL,Set,J0002,3XL,30,39727.62,1135.0748571428571,35,124,94,50,In Stock
J0003-SET-L,Set,J0003,L,100,72603.84,654.0886486486486,111,493,393,50,In Stock
J0003-SET-M,Set,J0003,M,203,145072.24,659.4192727272726,220,199,0,50,Low Stock
J0003-SET-S,Set,J0003,S,208,143387.84,654.7389954337899,219,268,60,50,In Stock
J0003-SET-XL,Set,J0003,XL,123,90436.84,679.9762406015037,133,214,91,50,In Stock
J0003-SET-XS,Set,J0003,XS,116,88831.62,662.9225373134328,134,425,309,50,In Stock
J0003-SET-XXL,Set,J0003,XXL,159,108720.98,647.1486904761905,168,267,108,50,In Stock
J0003-SET-XXXL,Set,J0003,3XL,170,117191.12,658.3770786516853,178,100,0,50,Low Stock
J0004-SKD-L,Set,J0004,L,17,18420.0,1151.25,16,309,292,50,In Stock
J0004-SKD-M,Set,J0004,M,17,19393.0,1140.764705882353,17,228,211,50,In Stock
J0004-SKD-S,Set,J0004,S,8,9275.0,1159.375,8,155,147,50,In Stock
J0004-SKD-XL,Set,J0004,XL,15,17668.0,1177.8666666666666,15,490,475,50,In Stock
J0004-SKD-XS,Set,J0004,XS,5,5930.0,1186.0,5,170,165,50,In Stock
J0004-SKD-XXL,Set,J0004,XXL,19,21931.0,1154.2631578947369,19,264,245,50,In Stock
J0004-SKD-XXXL,Set,J0004,3XL,21,24086.0,1146.952380952381,21,294,273,50,In Stock
J0005-DR-L,Western Dress,J0005,L,52,54297.53,904.9588333333334,60,216,164,50,In Stock
J0005-DR-M,Western Dress,J0005,M,1,899.0,899.0,1,313,312,50,In Stock
J0005-DR-S,Western Dress,J0005,S,47,45871.57,917.4313999999999,50,352,305,50,In Stock
J0005-DR-XL,Western Dress,J0005,XL,28,28241.59,911.0190322580645,31,296,268,50,In Stock
