SKU Code,Design No.,Stock,Category,Size,Color
JAN8632-KR-NP-XL,JAN8632,37.0,SET,XL,TEAL BLUE
JAN8633-KR-NP-XL,JAN8633,26.0,SET,XL,Maroon
JAN8669-DR-XXL,JAN8669,1.0,DRESS,XXL,LIGHT YELLOW
JNE1233-BLUE-KR-031-XXXL,JNE1233,75.0,KURTA,XXXL,Blue
JNE2101-KR-210-XS,JNE2101,1.0,KURTA,XS,Red
JNE2131-KR-A-XL,JNE2131,6.0,KURTA,XL,Multicolor
JNE2170-KR-436-XXXL,JNE2170,3.0,KURTA,XXXL,Black
JNE2199-KR-411-XXL,JNE2199,55.0,KURTA,XXL,Pink
JNE2265-KR-501-XS,JNE2265,26.0,KURTA,XS,Purple
JNE2265-KR-501-XXXL,JNE2265,1.0,KURTA,XXXL,Purple
JNE3042-KR-XXL,JNE3042,5.0,KURTA,XXL,Grey
JNE3256-KR-XL,JNE3256,87.0,KURTA,XL,Blue
JNE3257-KR-XL,JNE3257,12.0,KURTA,XL,Magenta
JNE3313-KR-XL,JNE3313,20.0,KURTA,XL,Black
JNE3334-KR-L,JNE3334,6.0,KURTA,L,Black
JNE3336-KR-XXXL,JNE3336,2.0,KURTA,XXXL,Sky Blue
JNE3338-KR-M,JNE3338,13.0,KURTA,M,Grey
JNE3356-KR-XL,JNE3356,49.0,KURTA,XL,Yellow
JNE3357-KR-M,JNE3357,26.0,KURTA,M,Yellow
JNE3366-KR-1053-S,JNE3366,181.0,KURTA,S,Peach
JNE3391-KR-S,JNE3391,6.0,KURTA,S,Pink
JNE3399-KR-XXXL,JNE3399,19.0,KURTA,XXXL,Turquoise Blue
JNE3407-KR-XXL,JNE3407,2.0,KURTA,XXL,Olive Green
JNE3417-KR-XXL,JNE3417,21.0,KURTA,XXL,Red
JNE3423-KR-XXXL,JNE3423,0.0,KURTA,XXXL,Black
JNE3428-KR-XS,JNE3428,2.0,KURTA,XS,Dark Blue
JNE3428-KR-XXL,JNE3428,2.0,KURTA,XXL,Dark Blue
JNE3441-KR-S,JNE3441,53.0,KURTA,S,Pink
JNE3443-KR-XS,JNE3443,4.0,KURTA,XS,Beige
JNE3451-KR-XXL,JNE3451,40.0,KURTA,XXL,Light Pink
JNE3462-KR-XXXL,JNE3462,1.0,KURTA,XXXL,Mustard
JNE3477-KR-L,JNE3477,8.0,KURTA,L,Peach
JNE3479-KR-XS,JNE3479,4.0,KURTA,XS,Black
JNE3480-KR-S,JNE3480,7.0,KURTA,S,Pink
JNE3487-KR-XXL,JNE3487,13.0,KURTA,XXL,Peach
JNE3501-KR-XXL,JNE3501,20.0,KURTA,XXL,Pink
JNE3510-KR-S,JNE3510,2.0,KURTA,S,Grey
JNE3520-KR-S,JNE3520,61.0,KURTA,S,Mustard
JNE3523-KR-XXXL,JNE3523,0.0,KURTA,XXXL,Navy Blue
JNE3541-KR-S,JNE3541,1.0,KURTA,S,Maroon
JNE3558-KR-XL,JNE3558,2.0,KURTA,XL,Pink
JNE3573-KR-XL,JNE3573,2.0,KURTA,XL,Grey
JNE3576-KR-L,JNE3576,56.0,KURTA,L,Black
JNE3607-KR-XS,JNE3607,244.0,KURTA,XS,Maroon
JNE3613-KR-XL,JNE3613,593.0,KURTA,XL,Teal
JNE3615-KR-S,JNE3615,68.0,KURTA,S,Navy Blue
JNE3620-KR-XXL,JNE3620,2.0,KURTA,XXL,Magenta
JNE3621-KR-XXL,JNE3621,5.0,KURTA,XXL,OFF WHITE
JNE3626-KR-L,JNE3626,1.0,KURTA,L,Black
JNE3638-KR-XXXL,JNE3638,29.0,KURTA,XXXL,Orange
JNE3639-TP-L,JNE3639,30.0,TOP,L,Maroon
JNE3642-TP-M,JNE3642,0.0,TOP,M,Peach
JNE3657-TP-S,JNE3657,0.0,TOP,S,Black
JNE3660-TP-S,JNE3660,17.0,TOP,S,Sky Blue
JNE3661-TP-XS,JNE3661,2.0,TOP,XS,Pink
JNE3662-TP-XS,JNE3662,6.0,TOP,XS,Peach
JNE3665-TP-L,JNE3665,43.0,TOP,L,Grey
JNE3673-TU-XXL,JNE3673,2.0,TOP,XXL,Mustard
JNE3683-TU-XS,JNE3683,7.0,TUNIC,XS,Pink
JNE3684-TU-S,JNE3684,5.0,TUNIC,S,Red
JNE3704-KR-S,JNE3704,4.0,KURTA,S,Brown
JNE3704-KR-XS,JNE3704,19.0,KURTA,XS,Brown
JNE3707-DR-XL,JNE3707,19.0,DRESS,XL,Cream
JNE3707-DR-XS,JNE3707,40.0,DRESS,XS,Cream
JNE3714-KR-S,JNE3714,10.0,KURTA,S,TEAL GREEN
JNE3720-KR-S,JNE3720,197.0,KURTA,S,Navy Blue
JNE3727-KR-XXXL,JNE3727,36.0,KURTA,XXXL,Blue
JNE3744-TU-M,JNE3744,70.0,TUNIC,M,Navy Blue
JNE3749-KR-M,JNE3749,2.0,KURTA,M,Blue
JNE3758-KR-M,JNE3758,49.0,KURTA,M,Maroon
JNE3758-KR-XL,JNE3758,82.0,KURTA,XL,Maroon
JNE3761-KR-L,JNE3761,104.0,KURTA,L,Olive Green
JNE3776-KR-XL,JNE3776,4.0,KURTA,XL,Green
JNE3776-KR-XXL,JNE3776,8.0,KURTA,XXL,Green
JNE3786-KR-XXL,JNE3786,19.0,KURTA,XXL,Black
JNE3795-KR-XL,JNE3795,180.0,KURTA,XL,Blue
JNE3796-KR-M,JNE3796,5.0,KURTA,M,Peach
JNE3807-KR-XS,JNE3807,5.0,KURTA,XS,Beige
JNE3818-KR-XL,JNE3818,3.0,KURTA,XL,Orange
JNE3819-KR-S,JNE3819,11.0,KURTA,S,Blue
JNE3826-KR-S,JNE3826,22.0,KURTA,S,Black
JNE3843-KR-XL,JNE3843,10.0,KURTA,XL,Green
JNE3847-KR-L,JNE3847,2.0,KURTA,L,Teal Green
JNE3850-KR-XL,JNE3850,1.0,KURTA,XL,Green
JNE3857-KR-S,JNE3857,1.0,KURTA,S,Maroon
JNE3864-TU-S,JNE3864,42.0,TUNIC,S,Blue
JNE3875-KR-L,JNE3875,90.0,KURTA,L,Green
JNE3880-DR-XS,JNE3880,49.0,DRESS,XS,Peach
JNE3885-KR-M,JNE3885,61.0,KURTA,M,Cream
JNE3887-KR-M,JNE3887,16.0,KURTA,M,White
JNE3897-KR-XXL,JNE3897,30.0,KURTA,XXL,Rust
JNE3907-KR-M,JNE3907,69.0,KURTA,M,Navy Blue
MEN5001-KR-XXXL,MEN5001,1.0,KURTA,XXXL,Blue
MEN5012-KR-L,MEN5012,58.0,KURTA,L,Blue
MEN5015-KR-L,MEN5015,11.0,KURTA,L,Pink
NW006-ST-SR-S,NW006,13.0,NIGHT WEAR,S,Beige
NW013-ST-SR-M,NW013,12.0,NIGHT WEAR,M,Turquoise
NW020-ST-SR-S,NW020,3.0,NIGHT WEAR,S,Peach
NW023-ST-SR-XXXL,NW023,29.0,NIGHT WEAR,XXXL,Blue
NW031-TP-PJ-XXXL,NW031,2.0,NIGHT WEAR,XXXL,Cream
NW032-ST-CP-XL,NW032,24.0,NIGHT WEAR,XL,White
NW032-ST-CP-XXXL,NW032,7.0,NIGHT WEAR,XXXL,White
NW035-ST-CP-L,NW035,14.0,NIGHT WEAR,L,Grey
PJNE2100-KR-6XL,PJNE2100,104.0,KURTA,6XL,Teal
PJNE3399-KR-4XL,PJNE3399,12.0,KURTA,4XL,Turquoise Blue
PJNE3568-KR-6XL,PJNE3568,4.0,KURTA,6XL,Yellow
SAR047,SAR047,32.0,SAREE,FREE,Mustard
SAR051,SAR051,46.0,SAREE,FREE,Black
SAR071,SAR071,6.0,SAREE,FREE,Green
SET004-KR-SP-L,SET004,2.0,KURTA SET,L,Grey
SET004-KR-SP-S,SET004,19.0,KURTA SET,S,Grey
SET034-KR-NP-XXXL,SET034,1.0,KURTA SET,XXXL,Pink
SET048-KR-NP-XXXL,SET048,1.0,KURTA SET,XXXL,Dark Green
SET058-KR-NP-XXL,SET058,33.0,KURTA SET,XXL,Teal
SET062-KR-SP-S,SET062,3.0,KURTA SET,S,Black
SET073-KR-SHA-M,SET073,250.0,KURTA SET,M,Dark Green
SET078-KR-NP-XXXL,SET078,0.0,SET,XXXL,Multicolor
SET152-KR-NP-XL,SET152,0.0,SET,XL,Orange
SET153-KR-NP-XXXL,SET153,0.0,SET,XXXL,Black
SET179-KR-PP-S,SET179,0.0,KURTA SET,S,White
SET214-KR-DPT-XXL,SET214,3.0,KURTA SET,XXL,Mustard
SET219-KR-PP-XXXL,SET219,2.0,KURTA SET,XXXL,Turquoise Green
SET225-KR-NP-XL,SET225,14.0,KURTA,XL,Mustard
SET240-KR-PP-XL,SET240,27.0,KURTA SET,XL,Yellow
SET247-KR-SHA-XL,SET247,3.0,KURTA SET,XL,Teal
SET257-KR-PP-S,SET257,5.0,SET,S,Beige
SET264-KR-NP-L,SET264,76.0,KURTA SET,L,Gold
SET286-KR-NP-S,SET286,33.0,SET,S,Maroon
SET295-KR-NP-XS,SET295,4.0,KURTA SET,XS,Black
SET295-KR-NP-XXL,SET295,2.0,KURTA SET,XXL,Black
SET307-KR-DPT-XS,SET307,37.0,KURTA SET,XS,Grey
SET307-KR-DPT-XXXL,SET307,29.0,KURTA SET,XXXL,Grey
SET308-KR-PP-L,SET308,48.0,KURTA SET,L,Grey
SET313-KR-NP-L,SET313,33.0,SET,L,White
SET319-KR-NP-XXXL,SET319,10.0,KURTA SET,XXXL,Pink
SET322-KR-SHA-XXXL,SET322,11.0,SET,XXXL,Maroon
SET324-KR-NP-M,SET324,8.0,KURTA SET,M,Peach
SET335-KR-NP-XXXL,SET335,49.0,SET,XXXL,Black
SET341-KR-NP-XXL,SET341,7.0,SET,XXL,Multicolor
SET343-KR-NP-S,SET343,45.0,SET,S,OFF WHITE
SET344-KR-NP-S,SET344,17.0,SET,S,Red
SET355-KR-PP-XL,SET355,3.0,SET,XL,Light Green
SET361-KR-NP-XS,SET361,6.0,SET,XS,White
SET364-KR-NP-XL,SET364,2.0,SET,XL,Yellow
SET372-KR-PP-XXXL,SET372,33.0,SET,XXXL,Maroon
SET384-KR-NP-M,SET384,6.0,SET,M,LIGHT YELLOW
SET389-KR-NP-M,SET389,3.0,SET,M,White
SET389-KR-NP-S,SET389,32.0,SET,S,White
SET390-KR-NP-XXXL,SET390,60.0,SET,XXXL,Light Green
SET392-KR-NP-XL,SET392,4.0,SET,XL,Peach
SET394-KR-NP-M,SET394,1.0,SET,M,Maroon
SET402-KR-NP-XS,SET402,61.0,SET,XS,Sea Green
SET414-KR-NP-L,SET414,45.0,SET,L,Navy Blue
SET435-KR-NP-XS,SET435,52.0,SET,XS,Yellow
SET437-KR-PP-L,SET437,72.0,SET,L,Wine
SET438-KR-NP-XXXL,SET438,61.0,SET,XXXL,Pink
SET446-KR-NP-M,SET446,40.0,SET,M,Teal
,,,,,
