Order ID,Date,Status,Fulfilment,Sales Channel ,ship-service-level,Style,SKU,Category,Size,ASIN,Courier Status,Qty,currency,Amount,ship-state,B2B,fulfilled-by
403-7676957-4768316,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0132,J0132-KR-XS,kurta,XS,B08N1BYTL6,Shipped,1,INR,362.0,WEST BENGAL,False,Easy Ship
406-4749707-5293159,04-25-22,Shipped,Amazon,Amazon.in,Expedited,JNE3618,JNE3618-KR-L,kurta,L,B091Q84CBF,Shipped,1,INR,399.0,MAHARASHTRA,False,
408-8134847-8276318,04-25-22,Shipped,Amazon,Amazon.in,Expedited,JNE2113,JNE2113-KR-381-S,kurta,S,B0793R5HQ7,Shipped,1,INR,499.0,Gujarat,False,
171-5885440-6989908,04-25-22,Shipped,Amazon,Amazon.in,Expedited,J0230,J0230-SKD-M,Set,M,B08XNJG8B1,Shipped,1,INR,1112.0,UTTARAKHAND,False,
404-2429738-4157141,04-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,MEN5008,MEN5008-KR-L,kurta,L,B08YYZFQZS,Shipped,1,INR,499.0,TAMIL NADU,False,Easy Ship
402-3472022-0065902,04-25-22,Shipped,Amazon,Amazon.in,Expedited,J0198,J0198-TP-XL,Top,XL,B0986YD8K8,Shipped,1,INR,588.0,Gujarat,False,
405-2108183-8908308,04-24-22,Shipped,Amazon,Amazon.in,Expedited,J0008,J0008-SKD-S,Set,S,B0894XGJ83,Shipped,1,INR,1065.0,HARYANA,False,
171-8020334-2178724,04-23-22,Shipped,Amazon,Amazon.in,Expedited,SET347,SET347-KR-NP-M,Set,M,B09RKF9KV8,Shipped,1,INR,801.0,ANDAMAN & NICOBAR ,False,
404-5344837-1564354,04-22-22,Cancelled,Amazon,Amazon.in,Expedited,J0014,J0014-LCD-M,Set,M,B0894XW4QF,Unshipped,1,INR,1648.0,KARNATAKA,False,
402-2342051-9126713,04-22-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET264,SET264-KR-NP-L,Set,L,B08YNFKKGY,Shipped,1,INR,824.0,TAMIL NADU,False,Easy Ship
407-0340898-2137912,04-22-22,Cancelled,Amazon,Amazon.in,Expedited,JNE2270,JNE2270-KR-487-A-XXL,kurta,XXL,B07H7DZXJ5,Unshipped,1,INR,518.0,KERALA,False,
405-5736890-0222712,04-22-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3491,JNE3491-KR-XL,kurta,XL,B08BK5LDMW,Shipped,1,INR,349.0,TAMIL NADU,False,Easy Ship
403-9083848-4997906,04-21-22,Shipped,Amazon,Amazon.in,Expedited,JNE2014,JNE2014-KR-178-M,kurta,M,B077M6KWYJ,Shipped,1,INR,353.0,MAHARASHTRA,False,
408-5426986-3841964,04-21-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0003,J0003-SET-XXL,Set,XXL,B0894XKVH3,Shipped,1,INR,654.0,UTTAR PRADESH,False,Easy Ship
402-1799007-6281132,04-20-22,Shipped,Amazon,Amazon.in,Expedited,JNE3887,JNE3887-KR-XXXL,kurta,3XL,B09TZZ96LZ,Shipped,1,INR,590.0,TELANGANA,False,
403-0455532-4454703,04-20-22,Shipped,Amazon,Amazon.in,Expedited,JNE3160,JNE3160-KR-G-XL,kurta,XL,B07K4C1KTB,Shipped,1,INR,685.0,Gujarat,False,
408-6572914-5649942,04-20-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3400,JNE3400-KR-XXL,kurta,XXL,B083SNBTL8,Shipped,1,INR,459.0,Gujarat,False,Easy Ship
406-1629366-7670710,04-20-22,Shipped,Amazon,Amazon.in,Expedited,JNE3645,JNE3645-TP-N-M,Top,M,B08ZHSXP1S,Shipped,1,INR,432.0,MAHARASHTRA,False,
171-0282434-6767537,04-19-22,Shipped,Amazon,Amazon.in,Expedited,JNE3351,JNE3351-KR-XL,kurta,XL,B07WS16X57,Shipped,1,INR,284.0,UTTAR PRADESH,False,
171-4857454-0613132,04-18-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3368,JNE3368-KR-XXXL,kurta,3XL,B0828PD16L,Shipped,1,INR,471.0,MAHARASHTRA,False,Easy Ship
402-4233895-3198764,04-18-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE2014,JNE2014-KR-178-XL,kurta,XL,B077MM3LFJ,Shipped,1,INR,353.0,MAHARASHTRA,False,Easy Ship
403-1171734-9958708,04-18-22,Shipped,Amazon,Amazon.in,Expedited,SET398,SET398-KR-PP-XL,Set,XL,B09RPQV7SV,Shipped,1,INR,1115.0,UTTAR PRADESH,False,
406-1941797-3869906,04-17-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET233,SET233-KR-PP-XL,Set,XL,B08MXCP6LH,Shipped,1,INR,545.0,MAHARASHTRA,False,Easy Ship
404-1431485-2670727,04-17-22,Shipped,Amazon,Amazon.in,Expedited,JNE3405,JNE3405-KR-M,kurta,M,B081WVMMCY,Shipped,1,INR,399.0,PUNJAB,False,
405-8326161-8712343,04-16-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0341,J0341-DR-XS,Western Dress,XS,B099NS55L1,Shipped,1,INR,744.0,ANDHRA PRADESH,False,Easy Ship
402-7540172-2041939,04-16-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET291,SET291-KR-PP-M,Set,M,B099NK55YG,Shipped,1,INR,563.0,Gujarat,False,Easy Ship
403-9444627-9925920,04-16-22,Cancelled,Amazon,Amazon.in,Expedited,SET347,SET347-KR-NP-XXL,Set,XXL,B09RKCWNYM,Unshipped,1,INR,801.0,MAHARASHTRA,False,
403-7954118-0782700,04-16-22,Shipped,Amazon,Amazon.in,Expedited,J0230,J0230-SKD-M,Set,M,B08XNJG8B1,Shipped,1,INR,1112.0,MAHARASHTRA,False,
403-8617576-5232345,04-14-22,Shipped,Amazon,Amazon.in,Expedited,JNE3566,JNE3566-KR-XXL,kurta,XXL,B08MXCJDTN,Shipped,1,INR,419.0,WEST BENGAL,False,
403-6591748-1425135,04-14-22,Shipped,Amazon,Amazon.in,Expedited,J0335,J0335-DR-L,Western Dress,L,B09831T4CQ,Shipped,1,INR,807.0,TELANGANA,False,
403-9520993-3768342,04-14-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3368,JNE3368-KR-XS,kurta,XS,B081WX6MFJ,Unshipped,1,INR,471.0,JHARKHAND,False,
171-9972849-5922764,04-14-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET383,SET383-KR-NP-XXXL,Set,3XL,B09K3KMF92,Shipped,1,INR,631.0,UTTAR PRADESH,False,Easy Ship
402-1909333-5057155,04-13-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3449,JNE3449-KR-S,kurta,S,B08BF9YDKC,Shipped,1,INR,319.0,MAHARASHTRA,False,Easy Ship
171-0556683-4451529,04-13-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3291,JNE3291-KR-L,kurta,L,B07R5X9WJB,Unshipped,1,INR,442.0,ANDHRA PRADESH,False,
408-6506213-5766718,04-13-22,Shipped,Amazon,Amazon.in,Expedited,SET247,SET247-KR-SHA-S,Set,S,B09B58DHH1,Shipped,1,INR,716.0,SIKKIM,False,
405-2590601-4311549,04-13-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET279,SET279-LC-S,Set,S,B09CT6L67S,Shipped,1,INR,888.0,TELANGANA,False,Easy Ship
406-4173721-0489907,04-12-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3399,JNE3399-KR-L,kurta,L,B082W8354V,Cancelled,0,,,TAMIL NADU,False,
408-4125863-6581125,04-12-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3689,JNE3689-TU-XL,Top,XL,B094FJZ7MZ,Shipped,1,INR,434.0,ODISHA,False,Easy Ship
408-0589657-0104369,04-12-22,Shipped,Amazon,Amazon.in,Expedited,J0308,J0308-DR-L,Western Dress,L,B099NS9KRN,Shipped,1,INR,0.0,TELANGANA,False,
408-8008371-1443500,04-11-22,Shipped,Amazon,Amazon.in,Expedited,J0338,J0338-DR-XXL,Western Dress,XXL,B09831KKVG,Shipped,1,INR,791.0,CHHATTISGARH,False,
403-0173977-3041148,04-11-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3861,JNE3861-DR-XXXL,Western Dress,3XL,B09SDYBW5R,Shipped,1,INR,791.0,MAHARASHTRA,False,Easy Ship
407-2349552-3653164,04-10-22,Cancelled,Amazon,Amazon.in,Expedited,SET110,SET110-KR-PP-XL,Set,XL,B0822T4YG6,Unshipped,1,INR,788.0,UTTAR PRADESH,False,
404-3666880-9205945,04-10-22,Shipped,Amazon,Amazon.in,Expedited,JNE3645,JNE3645-TP-N-XS,Top,XS,B08ZJ2CB3B,Shipped,1,INR,432.0,TELANGANA,False,
408-7491904-5560359,04-10-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET288,SET288-KR-NP-L,Set,L,B09M6SCRZ6,Shipped,1,INR,684.0,UTTAR PRADESH,False,Easy Ship
406-6955848-6355513,04-10-22,Shipped,Amazon,Amazon.in,Expedited,J0349,J0349-SET-M,Set,M,B099NWNGVK,Shipped,1,INR,801.0,UTTAR PRADESH,False,
402-0349789-5135535,04-10-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,MEN5002,MEN5002-KR-XL,kurta,XL,B08YYZCTJX,Shipped,1,INR,499.0,MAHARASHTRA,False,Easy Ship
171-0163458-7406736,04-10-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3781,JNE3781-KR-S,kurta,S,B09K3WHHR1,Shipped,1,INR,432.0,KERALA,False,Easy Ship
407-1841065-3669906,04-09-22,Shipped,Amazon,Amazon.in,Expedited,JNE3405,JNE3405-KR-S,kurta,S,B081WX4G4Q,Shipped,1,INR,399.0,MAHARASHTRA,False,
402-3467808-5018715,04-09-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3870,JNE3870-DR-XXL,Western Dress,XXL,B09RK61TZX,Shipped,1,INR,721.0,DELHI,False,Easy Ship
404-2808548-2443531,04-08-22,Shipped,Amazon,Amazon.in,Expedited,JNE3443,JNE3443-KR-L,kurta,L,B081WWR2MN,Shipped,1,INR,487.0,CHANDIGARH,False,
406-6008887-7790704,04-08-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0095,J0095-SET-S,Set,S,B08CMXZQR6,Shipped,1,INR,653.0,KERALA,False,Easy Ship
404-2061508-1496364,04-08-22,Shipped,Amazon,Amazon.in,Expedited,JNE3615,JNE3615-KR-XL,kurta,XL,B091Q8BNLR,Shipped,1,INR,299.0,ANDHRA PRADESH,False,
408-4035320-3945960,04-08-22,Cancelled,Amazon,Amazon.in,Expedited,SET247,SET247-KR-SHA-XS,Set,XS,B09B58X791,Cancelled,0,,,TAMIL NADU,False,
406-5379232-5273904,04-08-22,Shipped,Amazon,Amazon.in,Expedited,SET250,SET250-KR-SHA-XL,Set,XL,B08WHZ3SRC,Shipped,1,INR,680.0,WEST BENGAL,False,
404-1331163-0134769,04-08-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3368,JNE3368-KR-XXL,kurta,XXL,B081WSWWL7,Shipped,1,INR,471.0,KARNATAKA,False,Easy Ship
402-1976333-7171519,04-07-22,Shipped,Amazon,Amazon.in,Expedited,MEN5006,MEN5006-KR-XXXL,kurta,3XL,B08YZ275XH,Shipped,1,INR,475.0,WEST BENGAL,False,
407-1568649-1657910,04-07-22,Shipped,Amazon,Amazon.in,Expedited,JNE3707,JNE3707-DR-XXL,Western Dress,XXL,B098372DQY,Shipped,1,INR,496.0,JAMMU & KASHMIR,False,
408-2331753-4558746,04-07-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,MEN5002,MEN5002-KR-S,kurta,S,B08YZ17D9M,Shipped,1,INR,499.0,MAHARASHTRA,True,Easy Ship
404-3008038-8191521,04-06-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3836,JNE3836-KR-XXL,kurta,XXL,B09RKB4VDD,Shipped,1,INR,635.0,MAHARASHTRA,False,Easy Ship
404-9456135-0302729,04-06-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET269,SET269-KR-NP-L,Set,L,B0983D9C65,Shipped,1,INR,824.0,UTTAR PRADESH,False,Easy Ship
407-8606777-1921158,04-06-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3399,JNE3399-KR-S,kurta,S,B082W87NQF,Unshipped,1,INR,435.0,ANDHRA PRADESH,False,
408-5768050-8630726,04-04-22,Cancelled,Amazon,Amazon.in,Expedited,MEN5027,MEN5027-KR-M,kurta,M,B08YYPMZ67,Cancelled,0,,,KARNATAKA,False,
408-4037674-2566723,04-04-22,Shipped,Amazon,Amazon.in,Expedited,J0132,J0132-KR-XS,kurta,XS,B08N1BYTL6,Shipped,1,INR,358.0,TELANGANA,False,
404-2156071-5251532,04-04-22,Shipped,Amazon,Amazon.in,Expedited,J0376,J0376-SKD-XS,Set,XS,B09QJ5XYT3,Shipped,1,INR,999.0,TAMIL NADU,False,
171-2353948-8112322,04-04-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,PJNE2100,PJNE2100-KR-N-6XL,kurta,6XL,B09LD3PMBT,Shipped,1,INR,452.0,KARNATAKA,False,Easy Ship
171-3666474-4284301,04-04-22,Shipped,Amazon,Amazon.in,Expedited,MEN5022,MEN5022-KR-XXL,kurta,XXL,B08YYRX2L6,Shipped,1,INR,530.0,KARNATAKA,False,
407-6586094-3886718,04-04-22,Shipped,Amazon,Amazon.in,Expedited,SET136,SET136-KR-PP-L,Set,L,B082Z38B7C,Shipped,1,INR,712.0,NAGALAND,False,
404-7942478-7424349,04-03-22,Cancelled,Amazon,Amazon.in,Expedited,SET331,SET331-KR-NP-XL,Set,XL,B09NQ51CH7,Unshipped,1,INR,627.0,TAMIL NADU,False,
406-0446571-6129914,04-03-22,Shipped,Amazon,Amazon.in,Expedited,SET138,SET138-KR-PP-XXXL,Set,3XL,B082Z3C8MW,Shipped,1,INR,729.0,WEST BENGAL,False,
171-0658734-0912308,04-03-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,MEN5014,MEN5014-KR-L,kurta,L,B08YYTZRBY,Shipped,1,INR,495.0,UTTAR PRADESH,False,Easy Ship
405-4160211-7122709,04-03-22,Shipped,Amazon,Amazon.in,Expedited,SET383,SET383-KR-NP-XL,Set,XL,B09K36BDS5,Shipped,1,INR,699.0,MAHARASHTRA,False,
171-3069283-8628366,04-03-22,Shipped,Amazon,Amazon.in,Expedited,JNE3391,JNE3391-KR-M,kurta,M,B081X59FVC,Shipped,1,INR,448.0,MAHARASHTRA,False,
405-9856136-1605135,04-01-22,Shipped,Amazon,Amazon.in,Expedited,SET398,SET398-KR-PP-L,Set,L,B09RP8WLNY,Shipped,1,INR,1129.0,HIMACHAL PRADESH,False,
402-5780029-9882705,04-01-22,Shipped,Amazon,Amazon.in,Expedited,JNE3458,JNE3458-KR-XXXL,kurta,3XL,B08HK3XSKF,Shipped,1,INR,499.0,WEST BENGAL,False,
407-2802372-0739549,05-31-22,Shipped,Amazon,Amazon.in,Expedited,J0376,J0376-SKD-S,Set,S,B09QJ3BDVW,Shipped,1,INR,1063.0,KARNATAKA,False,
405-9006971-3544345,05-31-22,Shipped,Amazon,Amazon.in,Expedited,JNE3639,JNE3639-TP-N-L,Top,L,B08ZJ37HW4,Shipped,1,INR,518.0,RAJASTHAN,False,
408-6131818-5878733,05-31-22,Shipped,Amazon,Amazon.in,Expedited,J0341,J0341-DR-M,Western Dress,M,B099NQQ79L,Shipped,1,INR,885.0,TAMIL NADU,False,
407-2047203-0955513,05-31-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3801,JNE3801-KR-XXL,kurta,XXL,B09SDZ4XRT,Unshipped,2,INR,1542.0,TAMIL NADU,False,
405-1371596-7991541,05-30-22,Shipped,Amazon,Amazon.in,Expedited,J0339,J0339-DR-XXXL,Western Dress,3XL,B09831N6TV,Shipped,1,INR,825.0,PUNJAB,False,
408-4018747-4459524,05-29-22,Shipped,Amazon,Amazon.in,Expedited,J0117,J0117-TP-XS,Top,XS,B08N44NRDT,Shipped,1,INR,545.0,DELHI,False,
403-4530145-6725966,05-28-22,Shipped,Amazon,Amazon.in,Expedited,JNE3781,JNE3781-KR-S,kurta,S,B09K3WHHR1,Shipped,1,INR,432.0,KARNATAKA,False,
408-8840912-2649125,05-28-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3554,JNE3554-KR-L,kurta,L,B08MXBV2CM,Shipped,1,INR,517.0,KARNATAKA,False,Easy Ship
405-9253372-4581958,05-27-22,Shipped,Amazon,Amazon.in,Expedited,JNE3611,JNE3611-KR-XL,kurta,XL,B08XVPKBKG,Shipped,1,INR,469.0,TAMIL NADU,False,
402-4733027-0669159,05-27-22,Shipped,Amazon,Amazon.in,Expedited,J0335,J0335-DR-XL,Western Dress,XL,B09831P2JC,Shipped,1,INR,989.0,KARNATAKA,False,
406-3803788-2519528,05-27-22,Shipped,Amazon,Amazon.in,Expedited,JNE3440,JNE3440-KR-N-M,kurta,M,B081WY1SP3,Shipped,1,INR,435.0,KARNATAKA,False,
404-2053529-4560330,05-26-22,Cancelled,Amazon,Amazon.in,Expedited,J0138,J0138-KR-XS,kurta,XS,B091YJGBK7,Cancelled,0,,,HARYANA,False,
408-7729555-8393131,05-26-22,Shipped,Amazon,Amazon.in,Expedited,J0401,J0401-DR-S,Western Dress,S,B09SDYGHX3,Shipped,1,INR,885.0,KARNATAKA,False,
408-6386815-6747548,05-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET264,SET264-KR-NP-L,Set,L,B08YNFKKGY,Shipped,1,INR,824.0,PUNJAB,False,Easy Ship
407-5814732-9549158,05-25-22,Shipped,Amazon,Amazon.in,Expedited,SET254,SET254-KR-NP-XXL,Set,XXL,B0983DCNY3,Shipped,1,INR,886.0,MAHARASHTRA,False,
404-4246614-9175529,05-25-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3753,JNE3753-KR-XXXL,kurta,3XL,B09K3XM19N,Shipped,1,INR,475.0,DELHI,False,Easy Ship
406-0539331-3285105,05-24-22,Cancelled,Amazon,Amazon.in,Expedited,J0395,J0395-DR-XL,Western Dress,XL,B09SDXLD4C,Unshipped,1,INR,859.0,MAHARASHTRA,False,
407-2272479-0956311,05-24-22,Shipped,Amazon,Amazon.in,Expedited,SET402,SET402-KR-NP-XXL,Set,XXL,B09VC57SBH,Shipped,1,INR,988.0,MADHYA PRADESH,False,
408-0886230-5773130,05-22-22,Shipped,Amazon,Amazon.in,Expedited,SET364,SET364-KR-NP-XXL,Set,XXL,B09QJ5BYM8,Shipped,1,INR,1338.0,ODISHA,False,
405-2405706-8105107,05-21-22,Shipped,Amazon,Amazon.in,Expedited,JNE3567,JNE3567-KR-M,kurta,M,B08KRXV1QR,Shipped,1,INR,399.0,KARNATAKA,False,
406-9781961-6708319,05-20-22,Shipped,Amazon,Amazon.in,Expedited,J0334,J0334-TP-M,Top,M,B0986ZWRKD,Shipped,1,INR,599.0,KARNATAKA,False,
403-4016769-1933939,05-19-22,Shipped,Amazon,Amazon.in,Expedited,JNE3797,JNE3797-KR-L,Western Dress,L,B09SDXFFQ1,Shipped,1,INR,771.0,MAHARASHTRA,False,
407-4975444-5839557,05-19-22,Shipped,Amazon,Amazon.in,Expedited,SET372,SET372-KR-PP-M,Set,M,B09NQ4F9MJ,Shipped,1,INR,667.0,KARNATAKA,False,
402-6637398-9528340,05-19-22,Shipped,Amazon,Amazon.in,Expedited,J0097,J0097-KR-XL,kurta,XL,B08BJSHTNG,Shipped,1,INR,568.0,DELHI,False,
404-3017061-5579558,05-19-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,BTM038,BTM038-PP-XXL,Bottom,XXL,B08KRXDMC9,Shipped,1,INR,379.0,RAJASTHAN,False,Easy Ship
403-3056003-1925133,05-19-22,Cancelled,Merchant,Amazon.in,Standard,JNE3798,JNE3798-KR-L,Western Dress,L,B09SDX13G7,,0,INR,734.29,TELANGANA,False,Easy Ship
171-6985610-1225968,05-18-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3665,JNE3665-TP-L,Top,L,B0986XV34R,Shipped,1,INR,545.0,GOA,False,Easy Ship
403-6986604-6437907,05-18-22,Shipped,Amazon,Amazon.in,Expedited,JNE3405,JNE3405-KR-XXXL,kurta,3XL,B081WZ4T3V,Shipped,1,INR,435.0,MAHARASHTRA,False,
407-5871297-1247559,05-18-22,Shipped,Amazon,Amazon.in,Expedited,J0008,J0008-SKD-M,Set,M,B0894YTN3H,Shipped,1,INR,1133.0,KARNATAKA,False,
403-5714488-4080328,05-18-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0135,J0135-SET-S,Set,S,B08QGMRCHW,Shipped,1,INR,591.0,MAHARASHTRA,False,Easy Ship
406-1028891-5281909,05-18-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0295,J0295-DR-XXL,Western Dress,XXL,B099NSGTJ9,Shipped,1,INR,859.0,TELANGANA,False,Easy Ship
408-5832677-6230712,05-16-22,Shipped,Amazon,Amazon.in,Expedited,NW012,NW012-TP-PJ-XS,Set,XS,B0922T4KGR,Shipped,1,INR,537.0,WEST BENGAL,False,
405-9151084-2970744,05-16-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,PJNE3373,PJNE3373-KR-N-5XL,kurta,5XL,B09LD35DZ3,Shipped,1,INR,836.0,TAMIL NADU,False,Easy Ship
407-8878211-1698769,05-15-22,Cancelled,Amazon,Amazon.in,Expedited,J0376,J0376-SKD-XXL,Set,XXL,B09QJ549GK,Cancelled,0,,,CHHATTISGARH,False,
402-5897237-6456368,05-15-22,Shipped,Amazon,Amazon.in,Expedited,J0119,J0119-TP-L,Top,L,B08RYQQD6Z,Shipped,1,INR,574.0,UTTAR PRADESH,False,
407-8609212-4784361,05-15-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,NW012,NW012-TP-PJ-XXXL,Set,3XL,B0922TJXMK,Shipped,1,INR,537.0,TELANGANA,False,Easy Ship
406-2921796-2367509,05-14-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3407,JNE3407-KR-L,kurta,L,B0893DJL8B,Shipped,1,INR,301.0,ODISHA,False,Easy Ship
406-1217347-8009118,05-14-22,Cancelled,Merchant,Amazon.in,Standard,SET269,SET269-KR-NP-XL,Set,XL,B0983CBSJ3,,0,INR,784.76,DELHI,False,Easy Ship
405-3170634-8893168,05-13-22,Shipped,Amazon,Amazon.in,Expedited,SET266,SET266-KR-NP-XXXL,Set,3XL,B09BQLFL7M,Shipped,1,INR,852.0,MAHARASHTRA,False,
407-7840140-5061123,05-12-22,Shipped,Amazon,Amazon.in,Expedited,SET290,SET290-KR-DPT-M,Set,M,B09B5922WD,Shipped,1,INR,832.0,UTTAR PRADESH,False,
406-7843208-1146719,05-10-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3797,JNE3797-KR-XS,Western Dress,XS,B09SDY9SQ6,Shipped,1,INR,771.0,WEST BENGAL,False,Easy Ship
171-4286388-1031534,05-10-22,Shipped,Amazon,Amazon.in,Expedited,SET339,SET339-KR-NP-XXXL,Set,3XL,B09RSVRX2Y,Shipped,1,INR,736.0,UTTAR PRADESH,False,
404-7059954-8414767,05-09-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3607,JNE3607-KR-XL,kurta,XL,B08TGZCN3N,Shipped,1,INR,477.0,TAMIL NADU,False,Easy Ship
