customer_id,last_purchase,order_count,item_quantity,total_revenue,recency_days
14554,2011-11-29 16:44:00,4,1443,2279.49,10
14568,2010-09-30 17:15:00,1,645,919.7,435
14580,2010-07-09 15:20:00,1,3,14.85,518
14582,2011-10-30 11:56:00,1,73,114.11,41
14621,2011-12-08 16:22:00,9,1706,3000.57,1
14644,2011-10-03 08:30:00,7,770,2247.72,68
14665,2011-10-10 09:14:00,7,1144,2749.65,61
14669,2011-04-12 11:43:00,7,2043,3216.78,242
14679,2010-11-23 11:51:00,3,794,1289.44,382
14680,2011-11-14 16:59:00,58,26894,55688.5,25
14697,2011-05-05 15:39:00,2,181,188.61,218
14711,2011-11-29 14:58:00,11,966,2839.62,10
14740,2011-05-26 18:17:00,11,2081,4161.06,197
14756,2011-11-24 18:13:00,3,1423,2653.76,15
14827,2010-02-12 15:47:00,1,5,0.0,665
14833,2010-07-29 10:06:00,1,58,94.8,499
14892,2010-01-18 08:58:00,1,79,202.35,691
14896,2011-05-19 10:20:00,8,931,1826.0,205
14947,2011-09-28 15:48:00,6,416,1049.79,72
14976,2011-10-13 16:37:00,7,234,790.86,57
15000,2011-10-23 11:42:00,1,218,490.52,48
15002,2011-08-16 10:44:00,9,2214,4138.08,116
15013,2010-08-09 12:05:00,10,1715,1610.82,488
15020,2010-11-25 13:29:00,1,111,198.47,379
15035,2011-09-11 11:08:00,1,245,252.73,90
15061,2011-12-06 12:06:00,127,74280,126389.02,4
15080,2010-10-08 11:52:00,2,287,546.25,428
15089,2011-11-29 16:31:00,6,1359,2420.84,10
15091,2011-10-03 12:47:00,3,582,1046.61,68
15114,2011-11-09 15:05:00,12,3532,3400.12,30
15128,2011-10-10 13:54:00,5,1583,1783.68,60
15167,2011-01-23 12:41:00,5,863,1627.62,321
15178,2011-03-24 15:12:00,1,30,40.5,260
15209,2009-12-09 17:26:00,1,94,178.98,730
15224,2010-12-16 15:02:00,5,443,871.36,358
15232,2011-08-18 16:27:00,2,686,612.06,113
15235,2011-05-06 09:44:00,16,1676,2772.76,218
15260,2011-08-31 13:55:00,25,4468,8767.73,100
15268,2010-08-18 10:33:00,3,428,961.9,479
15336,2010-11-03 12:39:00,1,84,240.5,402
15420,2010-10-01 15:46:00,6,844,743.0,434
15424,2011-03-30 13:02:00,3,873,597.78,254
15460,2010-12-20 16:08:00,1,107,214.26,354
15500,2011-12-01 13:47:00,4,572,1131.56,8
15528,2011-03-30 16:14:00,1,123,229.33,254
15533,2011-11-20 15:35:00,3,289,807.57,19
15559,2010-05-20 14:06:00,1,526,1109.4,568
15573,2011-11-08 11:38:00,5,770,1188.42,32
15584,2011-11-16 10:55:00,6,483,1268.2,24
15643,2011-06-01 07:38:00,3,246,664.0,192
15654,2011-11-30 13:08:00,2,475,922.53,9
15692,2011-11-11 14:12:00,1,138,191.04,28
15728,2010-11-25 10:39:00,2,132,544.6,380
15776,2011-07-29 13:46:00,1,138,241.62,133
15810,2011-09-22 09:38:00,8,1653,2999.04,79
15836,2011-10-20 17:13:00,1,26,137.37,50
15845,2011-11-22 09:42:00,11,2128,4426.28,18
15881,2011-01-31 16:59:00,5,260,501.39,312
15977,2011-11-22 13:29:00,2,1016,1054.73,17
15984,2011-12-07 12:16:00,30,5730,8393.02,3
15985,2011-08-08 16:31:00,7,2750,2715.28,123
15996,2011-09-12 15:14:00,7,643,1386.4,88
16068,2010-04-25 11:52:00,1,48,115.73,594
16124,2011-01-26 14:45:00,4,797,1772.49,317
16167,2010-10-21 15:33:00,5,1494,1386.12,414
16177,2011-10-20 12:57:00,8,1021,2247.31,50
16182,2011-09-28 13:23:00,9,5887,9971.65,72
16190,2011-10-30 15:59:00,8,1231,2723.55,40
16196,2010-08-08 11:40:00,1,26,93.3,489
16198,2011-09-25 14:58:00,2,384,1030.04,75
16228,2010-11-19 14:20:00,3,555,885.71,385
16241,2011-11-30 11:08:00,16,2258,3992.86,10
16311,2011-11-22 08:54:00,2,394,616.26,18
16326,2011-12-04 10:11:00,24,1083,4721.25,6
16331,2010-10-03 13:47:00,6,756,2037.7,432
16338,2011-07-05 13:56:00,1,94,214.8,157
16343,2011-11-23 17:45:00,3,345,614.12,16
16455,2011-10-07 12:17:00,11,2851,3995.57,64
16459,2009-12-10 12:42:00,1,59,71.79,730
16464,2011-11-20 12:11:00,3,952,1298.66,20
16467,2010-07-19 11:49:00,7,7384,2869.16,509
16481,2010-01-26 13:09:00,1,201,453.38,682
16591,2011-10-02 10:43:00,1,41,213.5,69
16616,2011-11-24 16:31:00,2,370,500.42,15
16632,2010-08-11 11:39:00,2,256,406.4,486
16652,2011-10-12 09:38:00,16,7477,17550.39,59
16700,2011-12-01 11:00:00,25,6644,8830.77,9
16765,2011-02-18 15:41:00,2,311,454.75,294
16772,2010-10-12 13:19:00,3,687,3698.05,423
16779,2011-12-07 14:54:00,53,19411,32809.03,2
16807,2011-07-20 12:00:00,6,1433,2123.88,143
16831,2010-05-24 09:08:00,1,48,91.8,565
16833,2011-12-08 14:39:00,6,878,2409.04,1
16840,2010-04-15 15:48:00,2,117,139.85,603
16863,2011-11-08 15:26:00,3,640,834.27,31
16899,2011-12-02 12:03:00,8,811,1695.77,8
16906,2011-09-19 11:49:00,7,590,1410.92,82
16953,2011-11-09 15:54:00,1,10,20.8,30
16956,2011-11-22 08:56:00,1,114,308.74,18
16967,2011-06-03 14:24:00,1,333,319.02,189
16985,2011-11-22 13:33:00,23,3103,10923.16,17
17002,2011-09-15 12:40:00,7,1265,2571.55,86
17009,2010-06-06 16:01:00,1,336,242.06,551
17068,2011-11-27 13:14:00,47,4351,8987.68,12
17091,2011-12-07 10:43:00,19,3732,7495.75,3
17097,2011-12-07 17:05:00,9,582,1143.36,2
17105,2011-07-03 15:53:00,2,693,665.78,159
17108,2010-02-14 12:22:00,1,31,174.95,664
17141,2010-10-17 14:54:00,4,423,727.58,418
17164,2011-11-07 09:14:00,7,1501,2467.35,33
17166,2011-11-01 09:46:00,2,78,206.34,39
17175,2011-10-26 15:31:00,4,866,1443.69,44
17183,2011-12-02 10:07:00,6,1296,3347.31,8
17208,2010-11-09 12:50:00,1,101,111.15,396
17219,2011-11-08 11:25:00,2,188,259.13,32
17220,2011-11-15 13:47:00,21,2663,4457.31,24
17267,2011-08-04 17:22:00,2,158,317.2,127
17324,2011-11-22 10:34:00,12,1485,2171.07,18
17328,2010-02-04 17:11:00,1,86,104.7,673
17371,2011-11-22 13:30:00,6,281,655.37,17
17379,2011-11-28 13:56:00,1,623,389.72,11
17383,2011-12-05 17:36:00,2,160,304.09,4
17472,2011-06-01 14:57:00,4,551,922.35,191
17475,2011-09-21 14:55:00,1,178,194.37,79
17477,2010-04-06 10:06:00,2,225,1144.3,613
17534,2011-10-17 12:47:00,5,860,1668.83,54
17535,2011-03-04 15:20:00,1,136,164.4,280
17584,2011-12-02 17:12:00,6,2464,5309.42,7
17586,2010-03-30 13:12:00,1,68,167.4,619
17599,2010-08-19 12:50:00,1,11,52.05,478
17603,2011-09-22 14:18:00,4,638,1788.38,78
17663,2011-11-14 08:56:00,17,2297,5175.83,26
17674,2011-09-26 13:35:00,2,672,551.04,74
17703,2011-11-04 15:51:00,4,897,1094.84,35
17747,2011-08-19 08:13:00,1,12,71.4,113
17766,2010-11-23 14:29:00,2,155,299.61,381
17776,2010-11-18 12:14:00,2,273,330.56,387
17823,2010-10-14 16:24:00,2,252,449.25,421
17840,2010-09-22 12:24:00,1,128,175.9,444
17851,2010-10-13 15:13:00,6,933,1552.35,422
17902,2010-06-11 12:25:00,1,526,216.4,547
17951,2011-10-31 12:30:00,4,780,1340.58,40
17952,2010-11-26 13:54:00,4,477,788.46,378
17965,2011-11-02 09:31:00,29,4383,7006.65,38
17992,2010-11-15 13:04:00,1,130,252.88,389
18049,2010-09-28 14:26:00,2,402,500.92,437
18059,2011-11-16 16:49:00,3,263,306.46,23
18155,2011-09-25 13:32:00,3,266,371.62,75
18163,2010-05-04 14:51:00,1,452,728.84,584
18168,2011-06-16 19:21:00,16,1995,3435.5,176
18198,2011-12-05 14:49:00,17,4074,5425.56,4
18225,2011-12-06 13:27:00,26,7282,13014.8,3
18256,2010-11-17 08:53:00,1,180,110.7,388
18272,2011-12-07 12:43:00,9,2880,4385.98,3
